size,final_cost,marginal_cost,source,language,gram
1,0.655,0,wikipedia,Basque,unigram
2,0.285,-0.37000000000000005,wikipedia,Basque,unigram
3,0.262,-0.022999999999999965,wikipedia,Basque,unigram
4,0.167,-0.095,wikipedia,Basque,unigram
5,0.127,-0.04000000000000001,wikipedia,Basque,unigram
6,0.117,-0.009999999999999995,wikipedia,Basque,unigram
7,0.114,-0.0030000000000000027,wikipedia,Basque,unigram
8,0.112,-0.0020000000000000018,wikipedia,Basque,unigram
9,0.115,0.0030000000000000027,wikipedia,Basque,unigram
10,0.113,-0.0020000000000000018,wikipedia,Basque,unigram
11,0.116,0.0030000000000000027,wikipedia,Basque,unigram
12,0.118,0.001999999999999988,wikipedia,Basque,unigram
13,0.119,0.0010000000000000009,wikipedia,Basque,unigram
14,0.123,0.0040000000000000036,wikipedia,Basque,unigram
2,0.341,0,wikipedia,Basque,trigram
3,0.246,-0.09500000000000003,wikipedia,Basque,trigram
4,0.171,-0.07499999999999998,wikipedia,Basque,trigram
5,0.241,0.06999999999999998,wikipedia,Basque,trigram
6,0.242,0.0010000000000000009,wikipedia,Basque,trigram
7,0.243,0.0010000000000000009,wikipedia,Basque,trigram
8,0.12,-0.123,wikipedia,Basque,trigram
9,0.12,0.0,wikipedia,Basque,trigram
10,0.12,0.0,wikipedia,Basque,trigram
11,0.121,0.0010000000000000009,wikipedia,Basque,trigram
12,0.122,0.0010000000000000009,wikipedia,Basque,trigram
13,0.124,0.0020000000000000018,wikipedia,Basque,trigram
14,0.126,0.0020000000000000018,wikipedia,Basque,trigram
1,0.834,0,wikipedia,Alemannic,unigram
2,0.259,-0.575,wikipedia,Alemannic,unigram
3,0.216,-0.04300000000000001,wikipedia,Alemannic,unigram
4,0.169,-0.046999999999999986,wikipedia,Alemannic,unigram
5,0.152,-0.017000000000000015,wikipedia,Alemannic,unigram
6,0.141,-0.01100000000000001,wikipedia,Alemannic,unigram
7,0.145,0.0040000000000000036,wikipedia,Alemannic,unigram
8,0.156,0.01100000000000001,wikipedia,Alemannic,unigram
9,0.13,-0.025999999999999995,wikipedia,Alemannic,unigram
10,0.151,0.02099999999999999,wikipedia,Alemannic,unigram
11,0.146,-0.0050000000000000044,wikipedia,Alemannic,unigram
12,0.122,-0.023999999999999994,wikipedia,Alemannic,unigram
13,0.136,0.014000000000000012,wikipedia,Alemannic,unigram
14,0.135,-0.0010000000000000009,wikipedia,Alemannic,unigram
