language,source,gram,family,1,2,3,4,5
Basque,wikipedia,unigram,Basque,0.4811878819735722,-0.08655009275835246,-0.2228536006967885,0.03606185750508262,-0.20784604602351298
Basque,wikipedia,trigram,Basque,2.465897301329587,-0.5782453565058613,-0.5307720293938321,-0.6018156378865059,-0.7550642775433873
Alemannic,wikipedia,unigram,Indo-European,-0.2923514491856336,-0.11184769059395316,-0.19007557374709405,0.1166964177738481,0.4775782957528327
Alemannic,wikipedia,trigram,Indo-European,1.3502079453708054,0.1958340882860663,-0.49091988339696835,-0.6063642782197454,-0.4487578720401575
Wolof,wikipedia,unigram,Niger-Congo,0.13848929037562918,-0.022189891060794498,-0.12225420214720994,-0.2157934624833655,0.22174826531574032
Wolof,wikipedia,trigram,Niger-Congo,1.6249898647440912,-0.38533281593598223,-0.3184268425715546,-0.4281049837673113,-0.4931252224692435
Bosnian,wikipedia,unigram,Indo-European,0.03912601023271245,-0.16117482021396645,-0.33891898354348715,0.011667623760029944,0.44930016976471077
Bosnian,wikipedia,trigram,Indo-European,1.7908750227399366,-0.5956261969850696,-0.4440865311295199,-0.43420429291437634,-0.3169580017109712
Urdu,wikipedia,unigram,Indo-European,0.7375054826918221,0.010318826061346265,-0.30420152650916377,-0.4642567994330782,0.020634017189074427
Urdu,wikipedia,trigram,Indo-European,2.0183179794990362,-0.3613061954266852,-0.5656992660923064,-0.7593562449336577,-0.331956273046387
Afrikaans,wikipedia,unigram,Indo-European,-0.2959304334407826,-0.18028314614284646,-0.1473174604321721,0.0886582410907577,0.5348727989250426
Afrikaans,wikipedia,trigram,Indo-European,0.9219227426709313,-0.3092463480380263,-0.257762579707864,-0.23260420288155403,-0.122309612043487
Anglo-Saxon,wikipedia,unigram,NA,-0.04404596307812314,-0.15731689958571105,-0.3113683670215788,-0.12118054175544213,0.6339117714408551
Anglo-Saxon,wikipedia,trigram,NA,1.5629124240132108,-0.08994381955673725,-0.45810173446196045,-0.5866299232095031,-0.4282369467850098
Slovak,wikipedia,unigram,Indo-European,0.03802274842250153,-0.37046093071310304,-0.008204115969396408,-0.057928564577057085,0.398570862837055
Slovak,wikipedia,trigram,Indo-European,2.1029531860684925,-0.0708099250706784,-0.5378698117177915,-0.8123581224276863,-0.6819153268523357
Silesian,wikipedia,unigram,NA,0.6733663937281795,-0.25090469777566016,-0.7394334426311957,-0.04336622166720616,0.3603379683458834
Silesian,wikipedia,trigram,NA,2.124937363228229,-0.007997371467622472,-0.9841886132218927,-0.388199701532826,-0.7445516770058874
