position,length,speaker,n,empirical_stat,ci_lower,mean,ci_upper,language
1,5,Adult,130302,9.289608385397818,9.283728897873289,9.290042521000325,9.296796773943289,English
2,5,Adult,130302,2.83551262697455,2.827061524265252,2.835604008818234,2.844212248435096,English
3,5,Adult,130302,2.1674795898936887,2.1583011812230026,2.167585659875348,2.1757277431416187,English
4,5,Adult,130302,1.9428361659807425,1.9348859654048116,1.9426573440723798,1.9515950666232125,English
5,5,Adult,130302,2.0251252642980777,2.01676499256846,2.0248733446986176,2.0323496957335463,English
1,3,Adult,173194,9.532356422602767,9.525089164597059,9.532009028337036,9.540015174693302,English
2,3,Adult,173194,2.607110127024239,2.601584682926366,2.607775747582014,2.6147580029850275,English
3,3,Adult,173194,2.180194198293003,2.172475183813966,2.180620851265577,2.188403568004603,English
1,4,Adult,159310,9.383340361769175,9.376817155642051,9.382706483300801,9.3893544118339,English
2,4,Adult,159310,2.7101010176745013,2.7018572030476906,2.710352391413889,2.718066402747727,English
3,4,Adult,159310,2.076152732888451,2.0678826369415617,2.0758245791917496,2.082619812080965,English
4,4,Adult,159310,2.0795416972602907,2.0716002281744315,2.0795992223141178,2.085504820555454,English
1,7,Adult,76525,9.246183504131409,9.23694752533379,9.245643802064698,9.255850748430081,English
2,7,Adult,76525,2.8556345456910655,2.8450764623375275,2.8575266390808265,2.86881058013521,English
3,7,Adult,76525,2.289593274774835,2.2786618814805646,2.290494661867459,2.3036446909311743,English
4,7,Adult,76525,2.0225838098865596,2.0112532888109955,2.0217869079177344,2.032371298557089,English
5,7,Adult,76525,1.842353075894216,1.8340766336600867,1.84248670347582,1.852572332972368,English
6,7,Adult,76525,1.8247949037174898,1.8144645210785322,1.8253668681042523,1.8346650492962728,English
7,7,Adult,76525,1.99188127789689,1.9806613240749062,1.9917021886422719,2.003952314999243,English
1,6,Adult,102371,9.261734049667075,9.253567617816937,9.261339769769108,9.269646967011079,English
2,6,Adult,102371,2.847028318470493,2.8348243263362125,2.8460642690868454,2.857073797370404,English
3,6,Adult,102371,2.2907337120584472,2.281602046939113,2.291473756347229,2.304919387557719,English
4,6,Adult,102371,1.9345223581653166,1.927416207947615,1.9353105835411974,1.9447843467260215,English
5,6,Adult,102371,1.8722399521318391,1.86512262354234,1.873342470710375,1.8815036763598965,English
6,6,Adult,102371,1.9964796323252973,1.9873892491097465,1.9969434630433789,2.006539971493602,English
1,8,Adult,53094,9.265722200722957,9.254252670214676,9.266336941419269,9.279066970400716,English
2,8,Adult,53094,2.874006044699853,2.859966326131701,2.8738556562905377,2.8891080616943694,English
3,8,Adult,53094,2.3292114745426855,2.3138398067635384,2.3295907457123084,2.3467152309654824,English
4,8,Adult,53094,2.0706827716467795,2.056729040445233,2.0707309587345235,2.0837028827112256,English
5,8,Adult,53094,1.9521685171815264,1.9364383732819688,1.9523983792811503,1.963201140628838,English
6,8,Adult,53094,1.819117002870312,1.8070142170286279,1.81921306903593,1.8301959592377655,English
7,8,Adult,53094,1.8484838953322464,1.8337385631041612,1.8485181235999006,1.8608069510922556,English
8,8,Adult,53094,2.0171224383862043,2.003663079988491,2.0160705146150733,2.0283766467347766,English
1,9,Adult,36684,9.271512154884991,9.256785292305533,9.271410765159144,9.283374196235727,English
2,9,Adult,36684,2.9093105586063066,2.8919950586097896,2.910572853966038,2.927303291700123,English
3,9,Adult,36684,2.3532354439140706,2.33253794035154,2.3541760083596586,2.3695519397950218,English
4,9,Adult,36684,2.080339865347328,2.0608295275596067,2.0796772501843925,2.098811579548881,English
5,9,Adult,36684,1.979417488659732,1.9646021443551478,1.9786950302880537,1.9926719360481677,English
6,9,Adult,36684,1.9432945522548666,1.9269830865821835,1.9445933893649532,1.9616555974391137,English
7,9,Adult,36684,1.8472702943398718,1.8327212505366703,1.847317493549156,1.8603389413111953,English
8,9,Adult,36684,1.885238350269618,1.8657620239509334,1.8849932007859285,1.8981551318805048,English
9,9,Adult,36684,2.0139526216703807,1.99948666523157,2.0150519202278323,2.0300756228547256,English
1,3,Child,138491,9.466051855487436,9.459118997913052,9.465577394812415,9.47241938648207,English
2,3,Child,138491,2.773074130804138,2.7658062659243976,2.7731525729751674,2.78179313200363,English
3,3,Child,138491,2.191090529696533,2.1823396831808757,2.1907070336849475,2.2001542037565733,English
1,5,Child,79492,9.449094591854335,9.439612724157726,9.449056059233838,9.461253072560982,English
2,5,Child,79492,3.0994037453999774,3.0901564828700954,3.0983981971759196,3.113010962578813,English
3,5,Child,79492,2.3130035909757947,2.3014354577059803,2.313620785637488,2.3247393654993718,English
4,5,Child,79492,1.9095712821370718,1.9007202700091639,1.9094607562450556,1.9177064124661813,English
5,5,Child,79492,1.9305386052922022,1.9241372626391233,1.9316315660754477,1.9427552935033128,English
1,4,Child,108357,9.49029864922701,9.478985065186636,9.489869619034339,9.498512131681085,English
2,4,Child,108357,2.9562336606616846,2.9457113066031786,2.9565010328084345,2.9681065087491936,English
3,4,Child,108357,2.1451452494919576,2.133182805436429,2.14495339192928,2.153618136857892,English
4,4,Child,108357,1.996446436187752,1.989245762289964,1.9962902751537668,2.004412262184294,English
1,6,Child,55412,9.429315817637503,9.417598918617085,9.428724070418005,9.440514862535233,English
2,6,Child,55412,3.133645312550145,3.119432251607263,3.133676001844893,3.1459551535723724,English
3,6,Child,55412,2.477919981960337,2.465076643380522,2.4785780184780797,2.4934779229308823,English
4,6,Child,55412,2.0258017806535955,2.014002721053159,2.025693653369177,2.0377133952121755,English
5,6,Child,55412,1.8316940483716149,1.820992410302459,1.8322282977732116,1.8425415710832405,English
6,6,Child,55412,1.9075416047883054,1.8952620604703343,1.9066171334171986,1.9188029801675381,English
1,7,Child,36255,9.35249458197774,9.336660504251032,9.352692943801586,9.364577234652499,English
2,7,Child,36255,3.12954844349977,3.1118275521637044,3.1291798013530094,3.1443284127867117,English
3,7,Child,36255,2.516023090891535,2.4959444352010745,2.5154851388666915,2.540420454538965,English
4,7,Child,36255,2.1500260224721792,2.1374042283684744,2.150961385328545,2.165721810558815,English
5,7,Child,36255,1.9422366117349315,1.926199237715374,1.941367505062302,1.9552579947871647,English
6,7,Child,36255,1.8109970802669606,1.7986967487457521,1.8109004655159222,1.8275717108985536,English
7,7,Child,36255,1.9041111182614108,1.8900522986975492,1.9033915538385382,1.9187767003038276,English
1,8,Child,23663,9.325178106543591,9.308667903028487,9.323856484093106,9.340042299830953,English
2,8,Child,23663,3.104557720276699,3.0828031648551955,3.105838252087596,3.1253572845591986,English
3,8,Child,23663,2.5348493033439223,2.5161693703162014,2.536752830243688,2.558252488187959,English
4,8,Child,23663,2.2058911153572236,2.182848454280924,2.2069266582783706,2.2264311936448946,English
5,8,Child,23663,2.1133886599426854,2.095935190283667,2.1156373584343524,2.1354252964070537,English
6,8,Child,23663,1.9421400525828556,1.9229727951406663,1.9417661229773082,1.9582183623708866,English
7,8,Child,23663,1.8479792884340935,1.831213728040652,1.84734772889213,1.8658135337715334,English
8,8,Child,23663,1.92234280397265,1.9048008697331065,1.922279897467028,1.9367795681921187,English
1,9,Child,16003,9.270850825010296,9.24807873527415,9.270601338831282,9.289682022175297,English
2,9,Child,16003,3.0429625407774763,3.0169237611294237,3.041722437228619,3.06306310094521,English
3,9,Child,16003,2.4998177827719354,2.4707208052434932,2.4983065601677357,2.525312452211474,English
4,9,Child,16003,2.24578095841153,2.2207861837845835,2.246985833004088,2.2707852380496076,English
5,9,Child,16003,2.1380733444133058,2.1096589306593017,2.1383906972370306,2.163981352378404,English
6,9,Child,16003,2.076697452823825,2.0498343849572467,2.0753413014376765,2.100055749245914,English
7,9,Child,16003,1.9816017955390766,1.9618895953989384,1.9813811330045006,2.005567973286764,English
8,9,Child,16003,1.8538518222966642,1.8325957311344676,1.8535885019899196,1.8732073398207916,English
9,9,Child,16003,1.9237586123894312,1.9017578160819402,1.9217016114990748,1.941620815515384,English
1,5,Adult,12236,7.915802178993923,7.90405835191792,7.916212513503704,7.924312620440236,Chinese
2,5,Adult,12236,1.8713209569434708,1.8596812594371435,1.8715113169841417,1.8832685085109107,Chinese
3,5,Adult,12236,1.2132818217018766,1.1989954412509585,1.2125386999231338,1.2259577534539945,Chinese
4,5,Adult,12236,1.1449058759091686,1.1334815865683963,1.144612503856099,1.1578875304413176,Chinese
5,5,Adult,12236,1.060676512023755,1.0495107492085531,1.0606433451125028,1.072028599717953,Chinese
1,6,Adult,9031,7.924511860856026,7.913729517439542,7.924709278803016,7.940979774706309,Chinese
