position,length,speaker,language,n,empirical_stat,ci_lower,mean,ci_upper
1,5,Adult,Chinese,12236,7.915802178993923,7.90405835191792,7.916212513503704,7.924312620440236
2,5,Adult,Chinese,12236,1.8713209569434708,1.8596812594371435,1.8715113169841417,1.8832685085109107
3,5,Adult,Chinese,12236,1.2132818217018766,1.1989954412509585,1.2125386999231338,1.2259577534539945
4,5,Adult,Chinese,12236,1.1449058759091686,1.1334815865683963,1.144612503856099,1.1578875304413176
5,5,Adult,Chinese,12236,1.060676512023755,1.0495107492085531,1.0606433451125028,1.072028599717953
1,6,Adult,Chinese,9031,7.924511860856026,7.913729517439542,7.924709278803016,7.940979774706309
2,6,Adult,Chinese,9031,1.890628041863085,1.8775928099254955,1.891443044375032,1.9044820978440606
3,6,Adult,Chinese,9031,1.2287831665497788,1.2151821919188996,1.2289646791762363,1.2449678975189924
4,6,Adult,Chinese,9031,1.1816945763445286,1.164441129564909,1.18078609007562,1.1970659895957527
5,6,Adult,Chinese,9031,1.1042370288795231,1.0908787669460713,1.104593059944824,1.1178887715134795
6,6,Adult,Chinese,9031,1.0434107720000498,1.0327235555473244,1.0437038414692934,1.0557209489571533
1,4,Adult,Chinese,14203,7.941690965327614,7.931241434034911,7.941369301628699,7.951453393802234
2,4,Adult,Chinese,14203,1.858567160031816,1.8460917582228547,1.859606170619381,1.869998306467828
3,4,Adult,Chinese,14203,1.164261648153525,1.1486653567988765,1.1636609060900451,1.1772286743595006
4,4,Adult,Chinese,14203,1.0748684726398965,1.0649411851857185,1.0750606834971552,1.0887074931724756
1,3,Adult,Chinese,14203,7.964301899857129,7.955118459445913,7.963682599971809,7.972422426578522
2,3,Adult,Chinese,14203,1.8107491782758551,1.797093126159952,1.8109601033124203,1.8217204352806027
3,3,Adult,Chinese,14203,1.0543914913065222,1.0408684435204991,1.0540510711572224,1.0665988773046677
1,8,Adult,Chinese,4438,7.905938754483567,7.889027848067505,7.904674905066342,7.924346917856916
2,8,Adult,Chinese,4438,1.8878580334488473,1.867417387674391,1.887730710651489,1.9071537274909267
3,8,Adult,Chinese,4438,1.2661606964091559,1.2427185900015787,1.266864646180571,1.2856897236904403
4,8,Adult,Chinese,4438,1.167586959606358,1.1453571781066152,1.1684321230507584,1.1909555935883858
5,8,Adult,Chinese,4438,1.196479608906234,1.1721478651764157,1.1973106177103525,1.2222980527592542
6,8,Adult,Chinese,4438,1.137949908569408,1.1160883611255317,1.1389300852737323,1.1630469883022785
7,8,Adult,Chinese,4438,1.0659113737203452,1.0412053996791921,1.064722540260382,1.0879277593410461
8,8,Adult,Chinese,4438,0.9851771964850647,0.9667540243774344,0.9862449574749875,1.0032977166880677
1,7,Adult,Chinese,6431,7.905433601325416,7.891127637145939,7.9050585145242955,7.920285091954764
2,7,Adult,Chinese,6431,1.9003398850330797,1.8836347077909033,1.899697658144803,1.9129785492545874
3,7,Adult,Chinese,6431,1.2584069036914705,1.2388752134642247,1.2589877355534336,1.2775635851512077
4,7,Adult,Chinese,6431,1.199825365905572,1.1798780411467955,1.199483402787462,1.2158027824588482
5,7,Adult,Chinese,6431,1.1652547235789927,1.1464073516545483,1.1640804058410688,1.1823826759038751
6,7,Adult,Chinese,6431,1.0930969041866754,1.0704084721977354,1.0929270951834276,1.1142131207352977
7,7,Adult,Chinese,6431,1.041179237868437,1.0249148706981284,1.0416772888263228,1.0577869068768064
1,9,Adult,Chinese,2930,7.917817252976088,7.893343017813288,7.916504505271391,7.935783260210382
2,9,Adult,Chinese,2930,1.9178338329132913,1.8958938941410377,1.919775853612724,1.9458973174209073
3,9,Adult,Chinese,2930,1.2420890275935672,1.2166406466997524,1.2421309589981626,1.270390471689937
4,9,Adult,Chinese,2930,1.1979470055257908,1.1640086529503098,1.195819548788331,1.2234108199601288
5,9,Adult,Chinese,2930,1.164539630665307,1.1365796025682229,1.164500831320831,1.1907922059094131
6,9,Adult,Chinese,2930,1.1641214721438828,1.1419164663166723,1.1626589987253573,1.184972510976596
7,9,Adult,Chinese,2930,1.117851295975695,1.0953522562614477,1.1186114322496354,1.1450560263643492
8,9,Adult,Chinese,2930,1.0407875402795577,1.0119530988248135,1.0412600809225856,1.0683232946322638
9,9,Adult,Chinese,2930,0.9896534796867761,0.9626502157254431,0.9896573335050316,1.0191403737470965
1,5,Child,Chinese,10227,8.045563113413168,8.03375799631436,8.045482360963028,8.057371674289659
2,5,Child,Chinese,10227,1.8306466598973266,1.8170769842440073,1.8296824148252142,1.8413665504111472
3,5,Child,Chinese,10227,1.3022527784689018,1.2834552846236278,1.301588421171917,1.3154127440460035
4,5,Child,Chinese,10227,1.114532656108714,1.1010377818938748,1.1147467465893526,1.1292781015476128
5,5,Child,Chinese,10227,1.0515308295035741,1.0406296979032374,1.052562698271427,1.0655919865439618
1,4,Child,Chinese,14932,8.09339590657661,8.085976064878178,8.094352561477805,8.102176871147739
2,4,Child,Chinese,14932,1.848477855815729,1.8349357030425544,1.8481671596608085,1.8602619456176683
3,4,Child,Chinese,14932,1.2201815516419237,1.2069280911766906,1.221569425792915,1.2342569562387218
4,4,Child,Chinese,14932,1.0434968971771814,1.0315526909469568,1.0427652254442794,1.0522376371953241
1,8,Child,Chinese,2546,8.062966455368198,8.04486006680475,8.063209412390101,8.085414862155165
2,8,Child,Chinese,2546,1.8784024488804196,1.84881522910668,1.8789321210584768,1.9073131101298126
3,8,Child,Chinese,2546,1.2633872609014878,1.230834131309205,1.2623372118967495,1.2875321752029614
4,8,Child,Chinese,2546,1.1717991194009594,1.1412658099128987,1.1707738775150662,1.1963496161204854
5,8,Child,Chinese,2546,1.1662020739475198,1.139140365248764,1.1651029051811042,1.1960108488446974
