length,position,n,empirical_stat,ci_lower,mean,ci_upper,gram
10,1,8000,6.453193546416971,6.3980186732888304,6.453545108812943,6.5108551874479454,Unigram
10,2,8000,7.324736096623739,7.264681326925472,7.326143893097914,7.3797281742631675,Unigram
10,3,8000,7.075622712508767,7.021267534966147,7.076935074012514,7.137343514817222,Unigram
10,4,8000,7.21485577497313,7.154153540717046,7.214006605597983,7.275347624797937,Unigram
10,5,8000,7.092269427827833,7.032861431131335,7.094491497860297,7.155250263594064,Unigram
10,6,8000,7.0976875612310995,7.038814067519192,7.097387557192204,7.156835289133387,Unigram
10,7,8000,7.193208804906738,7.129339872593928,7.193021327041483,7.250204310705002,Unigram
10,8,8000,6.971772490319718,6.905015064553051,6.9715016378578945,7.029096858302649,Unigram
10,9,8000,6.958500429547119,6.898840520819473,6.958275518134835,7.023550676574553,Unigram
10,10,8000,9.103407561089297,9.048143362461516,9.102880161904508,9.154985727429361,Unigram
20,1,8000,6.346784405583044,6.285391063508445,6.3467645649834115,6.4071672344694,Unigram
20,2,8000,7.442574007281148,7.384324202537744,7.44374813244931,7.502817372498043,Unigram
20,3,8000,7.259463119955567,7.198422331524757,7.259128015392459,7.320164339483352,Unigram
20,4,8000,7.297543764665538,7.235236950768466,7.297140211923478,7.360789332989951,Unigram
20,5,8000,7.247983791024998,7.186211696635595,7.248376699314442,7.314192105097571,Unigram
20,6,8000,7.243145629828423,7.18265075129295,7.24374222229056,7.308741471857347,Unigram
20,7,8000,7.276512049360139,7.21561688849466,7.276365203399312,7.338308874404089,Unigram
20,8,8000,7.220225600104656,7.156649717654509,7.220508224580289,7.280981308969267,Unigram
20,9,8000,7.2079999783864634,7.145318084432092,7.20895376310375,7.267818370405421,Unigram
20,10,8000,7.297840205341008,7.23487062084905,7.298269141238765,7.361446677549464,Unigram
20,11,8000,7.206349096821505,7.141230803464231,7.206443494470354,7.268146810967167,Unigram
20,12,8000,7.187527353218807,7.124943547585566,7.187227889690614,7.251621630013314,Unigram
20,13,8000,7.18708389517549,7.1171599671735075,7.186190320261896,7.2462548015033335,Unigram
20,14,8000,7.205145436011373,7.141439086374357,7.20435665623503,7.265503447467497,Unigram
20,15,8000,7.171906226328833,7.112253329300492,7.170989840709714,7.2378690000741726,Unigram
20,16,8000,7.1570911512515805,7.093188514898839,7.157102374550963,7.221188657739372,Unigram
20,17,8000,7.297485779202326,7.235329487989354,7.29715250323982,7.3612629730692944,Unigram
20,18,8000,6.948829526587635,6.887925056416318,6.947410933302239,7.007126069686875,Unigram
20,19,8000,7.109713333723997,7.039038858214156,7.107261759000583,7.172817380988946,Unigram
20,20,8000,9.457884059845917,9.416924838816344,9.457456848630901,9.500388693149429,Unigram
30,1,8000,6.263744815212221,6.201201061648501,6.264188190525335,6.3271773321548634,Unigram
30,2,8000,7.47816875490657,7.416994276571389,7.477815220443285,7.541459369518078,Unigram
30,3,8000,7.314596255896252,7.247369263190757,7.315210560195369,7.377284919557876,Unigram
30,4,8000,7.338525334792655,7.279247387939905,7.339828504696151,7.406067137705728,Unigram
30,5,8000,7.254098904446948,7.188746855510617,7.253510729532953,7.316080040364443,Unigram
30,6,8000,7.318818671948084,7.25319323298058,7.320943289446853,7.38885459649641,Unigram
30,7,8000,7.280066854321582,7.220076041134003,7.280698530482724,7.346982692354297,Unigram
30,8,8000,7.2337815647862485,7.167713331910316,7.23459470594123,7.29948714556722,Unigram
30,9,8000,7.32987204833498,7.266846049726045,7.330878142188641,7.392394637542573,Unigram
30,10,8000,7.310129414086333,7.248316338496547,7.311051665453342,7.374381550672747,Unigram
30,11,8000,7.315444360470327,7.252500809182504,7.315316289295558,7.380485998838173,Unigram
30,12,8000,7.268224781577311,7.20688982423183,7.26804265027022,7.330422678140151,Unigram
30,13,8000,7.292645221385081,7.226244611265756,7.292747407293119,7.359323532731369,Unigram
30,14,8000,7.274190063328392,7.201152323270988,7.271137482481532,7.336538203180378,Unigram
30,15,8000,7.2249819770276735,7.162104061684328,7.225172583076917,7.286876595932964,Unigram
30,16,8000,7.245598662289705,7.182691453604426,7.244834476253334,7.311072442097284,Unigram
30,17,8000,7.248646912843191,7.189870750995272,7.248076055672885,7.310338855828381,Unigram
30,18,8000,7.297041541634128,7.233276277295615,7.2967612110925755,7.362614124985675,Unigram
30,19,8000,7.242475806822484,7.173031206920144,7.240455947442918,7.307694331324526,Unigram
30,20,8000,7.314058479783957,7.245902950675866,7.31222697700652,7.378589102804261,Unigram
30,21,8000,7.200850228717935,7.138702464530979,7.201424292906541,7.264591439675765,Unigram
30,22,8000,7.252147486666046,7.190108058757904,7.252132304397656,7.3142544086167005,Unigram
30,23,8000,7.217448189820131,7.153471905857479,7.219361503452137,7.283227498289119,Unigram
30,24,8000,7.227761727751495,7.165622639372126,7.230455577700576,7.2932732291151865,Unigram
30,25,8000,7.1477899634037145,7.07730206140606,7.148849993702868,7.2164942520283555,Unigram
30,26,8000,7.2387665802247465,7.175383480181919,7.238465018991635,7.3035685087595175,Unigram
30,27,8000,7.34730921536164,7.2833820542897065,7.34802916681885,7.409780032661792,Unigram
30,28,8000,6.938819065516704,6.8745760913257925,6.939732794349592,7.003271977885899,Unigram
