length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
5,1,9675,4.727785903260103,4.679053432294705,4.727109976197309,4.772980038504322,English,Child,Unigram
5,2,9675,5.6417741994993635,5.5924215871662675,5.6418009821213575,5.6897321692228155,English,Child,Unigram
5,3,9675,5.772613253537004,5.722887994346676,5.77079861892925,5.82065226800556,English,Child,Unigram
5,4,9675,5.87088714953735,5.819082877402015,5.870935018183636,5.920772132782531,English,Child,Unigram
5,5,9675,6.653819208904421,6.596856090161791,6.653448429547223,6.715138614849768,English,Child,Unigram
7,1,3697,4.637292846540128,4.568526979012941,4.635711971913987,4.704687662870233,English,Child,Unigram
7,2,3697,5.612914308856887,5.538133645487783,5.61315969543686,5.689902305757514,English,Child,Unigram
7,3,3697,5.771180207935434,5.698816055218662,5.771212420364734,5.844661637719756,English,Child,Unigram
7,4,3697,5.97156724318207,5.892173952640625,5.970286570577955,6.043536599450601,English,Child,Unigram
7,5,3697,5.913349490989112,5.835048591227977,5.912722977253149,5.984712787641911,English,Child,Unigram
7,6,3697,5.966679954028669,5.890291563856125,5.9660394050025864,6.051225249462494,English,Child,Unigram
7,7,3697,6.902989469864453,6.816569744529304,6.903616397402945,6.9950510705778814,English,Child,Unigram
9,1,1593,4.540294518165168,4.44531723799777,4.5424617667385725,4.641342416729335,English,Child,Unigram
9,2,1593,5.5975651416808745,5.484410472452228,5.599177857602004,5.71045810830227,English,Child,Unigram
9,3,1593,5.778071365460256,5.665280290915116,5.775027194708228,5.8871261544077225,English,Child,Unigram
9,4,1593,5.862380598798261,5.7417381941379375,5.860419237483857,5.983732854721327,English,Child,Unigram
9,5,1593,5.866688920192932,5.743278092855401,5.865351431469745,5.99833287697493,English,Child,Unigram
9,6,1593,5.984030090590864,5.866421567010727,5.983835782316086,6.105644073503784,English,Child,Unigram
9,7,1593,5.985867035156767,5.857588430490319,5.984437489578585,6.11592564728026,English,Child,Unigram
9,8,1593,5.983827257115142,5.8593971471016335,5.980662027022845,6.099976693638774,English,Child,Unigram
9,9,1593,6.879554367500782,6.738559789149068,6.87707455510015,7.017728860903134,English,Child,Unigram
7,1,17407,5.565228581076443,5.5371965075822365,5.5650577966878005,5.592956621992418,English,Parent,Unigram
7,2,17407,5.927357500871222,5.899431425177526,5.928266074847567,5.959778521354101,English,Parent,Unigram
7,3,17407,6.179730556003302,6.150244350206002,6.1803660126638915,6.211907307879564,English,Parent,Unigram
7,4,17407,6.276829946127043,6.246166868204153,6.27703344009913,6.307079435452468,English,Parent,Unigram
7,5,17407,6.198871157702587,6.166562056078274,6.199592190204228,6.232247797854811,English,Parent,Unigram
7,6,17407,6.217391720632079,6.182184643712424,6.217118420440912,6.25382477847215,English,Parent,Unigram
7,7,17407,7.468254944669513,7.434356343817033,7.468608666317085,7.503920398557282,English,Parent,Unigram
5,1,27576,5.630364009949993,5.608969819779105,5.630434807598289,5.6521196495537245,English,Parent,Unigram
5,2,27576,6.008730434944485,5.984358230777525,6.008524558276894,6.032797518329972,English,Parent,Unigram
5,3,27576,6.145394819238849,6.120550013916569,6.145769335840062,6.172510071776794,English,Parent,Unigram
5,4,27576,6.237875621279173,6.209442685994558,6.2377296459225136,6.263759767796045,English,Parent,Unigram
5,5,27576,7.5187147851712,7.488784048119542,7.518060013712634,7.545947215882082,English,Parent,Unigram
9,1,9404,5.599875585830205,5.564256175209996,5.600560360123571,5.636999374408565,English,Parent,Unigram
9,2,9404,6.01463961055112,5.972480363871182,6.015133697377687,6.058156881988135,English,Parent,Unigram
9,3,9404,6.199549718737872,6.159719418805192,6.200350932590938,6.245202390167243,English,Parent,Unigram
9,4,9404,6.271270394128663,6.226936065917117,6.272043477975413,6.316200400249431,English,Parent,Unigram
9,5,9404,6.351389485912972,6.304785761075674,6.3519148853825005,6.3996199939690825,English,Parent,Unigram
9,6,9404,6.426283096094373,6.38246900779528,6.427061984822647,6.472581638844975,English,Parent,Unigram
9,7,9404,6.30097714901834,6.253744422042196,6.30097783512461,6.346526758706715,English,Parent,Unigram
9,8,9404,6.271131999363911,6.225039835624512,6.270677878090933,6.317454960614364,English,Parent,Unigram
9,9,9404,7.588339084169335,7.5449554707939015,7.588612992318429,7.6331007227873835,English,Parent,Unigram
5,1,454,4.881578444915166,4.71880882502869,4.87756496709185,5.042438812607355,Chinese,Child,Unigram
5,2,454,5.1321418240362195,4.983626015028604,5.127280445629215,5.275594658029093,Chinese,Child,Unigram
5,3,454,5.3594798596554165,5.20417935616347,5.360956943362383,5.5257653556391775,Chinese,Child,Unigram
5,4,454,5.552865504168397,5.370602988335978,5.551358225086739,5.720858894432164,Chinese,Child,Unigram
5,5,454,5.39885091540053,5.2244769217990275,5.399512018975885,5.564943843757135,Chinese,Child,Unigram
7,1,275,5.090863361063361,4.884070544290598,5.088906126940772,5.288525577794502,Chinese,Child,Unigram
7,2,275,5.4082582387881395,5.191592761718276,5.411115445926758,5.627436351581286,Chinese,Child,Unigram
