language1,language2,wals_dist
Acehnese,Acehnese,110
Acehnese,Afrikaans,44
Acehnese,Albanian,46
Acehnese,Alemannic,42
Acehnese,Amharic,38
Acehnese,Anglo-Saxon,44
Acehnese,Arabic,35
Acehnese,Aragonese,41
Acehnese,Armenian,38
Acehnese,Assamese,45
Acehnese,Asturian,43
Acehnese,Aymara,37
Acehnese,Azerbaijani,45
Acehnese,Bashkir,40
Acehnese,Basque,40
Acehnese,Bavarian,36
Acehnese,Belarusian,53
Acehnese,Bengali,33
Acehnese,Bhojpuri,39
Acehnese,Bosnian,44
Acehnese,Breton,37
Acehnese,Bulgarian,42
Acehnese,Burmese,41
Acehnese,Buryat,42
Acehnese,Catalan,39
Acehnese,Chavacano,41
Acehnese,Chinese,35
Acehnese,Chuvash,34
Acehnese,Corsican,41
Acehnese,Croatian,43
Acehnese,Czech,44
Acehnese,Danish,35
Acehnese,Divehi,39
Acehnese,Dutch,41
Acehnese,Emilian-Romagnol,41
Acehnese,English,36
Acehnese,Erzya,38
Acehnese,Esperanto,38
Acehnese,Estonian,48
Acehnese,Extremaduran,39
Acehnese,Faroese,40
Acehnese,Finnish,40
Acehnese,Franco-Provençal,43
Acehnese,French,30
Acehnese,Friulian,40
Acehnese,Gagauz,36
Acehnese,Galician,41
Acehnese,Georgian,30
Acehnese,German,48
Acehnese,Gilaki,38
Acehnese,Greek,47
Acehnese,Guarani,40
Acehnese,Gujarati,39
Acehnese,Hakka,35
Acehnese,Hausa,44
Acehnese,Hebrew,39
Acehnese,Hindi,40
Acehnese,Hungarian,47
Acehnese,Icelandic,44
Acehnese,Ido,50
Acehnese,Indonesian,52
Acehnese,Interlingua,43
Acehnese,Interlingue,43
Acehnese,Irish,40
Acehnese,Japanese,36
Acehnese,Javanese,45
Acehnese,Kabiye,52
Acehnese,Kabyle,49
Acehnese,Kannada,43
Acehnese,Kapampangan,62
Acehnese,Karachay-Balkar,41
Acehnese,Kazakh,41
Acehnese,Khmer,57
Acehnese,Kirghiz,40
Acehnese,Komi,42
Acehnese,Konkani,41
Acehnese,Korean,34
Acehnese,Ladino,42
Acehnese,Lao,52
Acehnese,Latin,38
Acehnese,Latvian,41
Acehnese,Lezgian,33
Acehnese,Limburgish,29
Acehnese,Lithuanian,51
Acehnese,Lombard,40
Acehnese,Luganda,46
Acehnese,Luxembourgish,43
Acehnese,Macedonian,35
Acehnese,Maithili,38
Acehnese,Malagasy,42
Acehnese,Malay,45
Acehnese,Malayalam,40
Acehnese,Maltese,41
Acehnese,Manx,38
Acehnese,Maori,44
Acehnese,Marathi,41
Acehnese,Mazandarani,40
Acehnese,Mingrelian,45
Acehnese,Mirandese,38
Acehnese,Mongolian,41
Acehnese,Nahuatl,39
Acehnese,Neapolitan,43
Acehnese,Nepali,41
Acehnese,Norman,46
Acehnese,Occitan,44
Acehnese,Odia,39
Acehnese,Ossetian,40
Acehnese,Pangasinan,37
Acehnese,Papiamentu,45
Acehnese,Pashto,44
Acehnese,Persian,40
Acehnese,Picard,44
Acehnese,Polish,44
Acehnese,Quechua,42
Acehnese,Ripuarian,49
Acehnese,Romanian,33
Acehnese,Romansh,44
Acehnese,Russian,44
Acehnese,Rusyn,44
Acehnese,Sakha,32
Acehnese,Samoan,49
Acehnese,Sanskrit,43
Acehnese,Sardinian,43
Acehnese,Scots,42
Acehnese,Serbian,43
Acehnese,Serbo-Croatian,35
Acehnese,Sicilian,43
Acehnese,Silesian,49
Acehnese,Sindhi,40
Acehnese,Sinhalese,38
Acehnese,Slovak,39
Acehnese,Slovenian,42
Acehnese,Somali,36
Acehnese,Spanish,40
Acehnese,Sundanese,57
Acehnese,Swahili,41
Acehnese,Swedish,38
Acehnese,Tajik,43
Acehnese,Tamil,38
Acehnese,Tatar,38
Acehnese,Telugu,40
Acehnese,Tetum,46
Acehnese,Thai,51
Acehnese,Tongan,51
Acehnese,Tsonga,47
Acehnese,Tswana,42
Acehnese,Tulu,37
Acehnese,Turkish,32
Acehnese,Turkmen,40
Acehnese,Ukrainian,39
Acehnese,Urdu,43
Acehnese,Uyghur,38
Acehnese,Uzbek,51
Acehnese,Venetian,48
Acehnese,Vepsian,46
Acehnese,Vietnamese,52
Acehnese,Walloon,39
Acehnese,Waray,43
Acehnese,Welsh,44
Acehnese,Wolof,46
Acehnese,Wu,45
Acehnese,Yiddish,46
Acehnese,Yoruba,51
Acehnese,Zazaki,48
Acehnese,Zeelandic,39
Afrikaans,Acehnese,44
Afrikaans,Afrikaans,110
Afrikaans,Albanian,57
Afrikaans,Alemannic,54
Afrikaans,Amharic,48
Afrikaans,Anglo-Saxon,53
Afrikaans,Arabic,53
Afrikaans,Aragonese,58
Afrikaans,Armenian,45
Afrikaans,Assamese,51
Afrikaans,Asturian,58
Afrikaans,Aymara,58
Afrikaans,Azerbaijani,60
Afrikaans,Bashkir,58
Afrikaans,Basque,53
Afrikaans,Bavarian,62
Afrikaans,Belarusian,59
Afrikaans,Bengali,54
Afrikaans,Bhojpuri,52
Afrikaans,Bosnian,52
Afrikaans,Breton,45
Afrikaans,Bulgarian,49
Afrikaans,Burmese,46
Afrikaans,Buryat,56
Afrikaans,Catalan,59
Afrikaans,Chavacano,52
Afrikaans,Chinese,48
Afrikaans,Chuvash,51
Afrikaans,Corsican,64
Afrikaans,Croatian,54
Afrikaans,Czech,63
Afrikaans,Danish,56
Afrikaans,Divehi,57
Afrikaans,Dutch,59
Afrikaans,Emilian-Romagnol,43
Afrikaans,English,57
Afrikaans,Erzya,47
Afrikaans,Esperanto,60
Afrikaans,Estonian,55
Afrikaans,Extremaduran,54
Afrikaans,Faroese,56
Afrikaans,Finnish,58
Afrikaans,Franco-Provençal,54
Afrikaans,French,48
Afrikaans,Friulian,63
Afrikaans,Gagauz,46
Afrikaans,Galician,53
Afrikaans,Georgian,49
Afrikaans,German,53
Afrikaans,Gilaki,53
Afrikaans,Greek,52
Afrikaans,Guarani,63
Afrikaans,Gujarati,63
Afrikaans,Hakka,53
Afrikaans,Hausa,52
Afrikaans,Hebrew,62
Afrikaans,Hindi,60
Afrikaans,Hungarian,57
Afrikaans,Icelandic,61
Afrikaans,Ido,60
Afrikaans,Indonesian,54
Afrikaans,Interlingua,47
Afrikaans,Interlingue,52
Afrikaans,Irish,49
Afrikaans,Japanese,52
Afrikaans,Javanese,55
Afrikaans,Kabiye,60
Afrikaans,Kabyle,55
Afrikaans,Kannada,61
