language,slope1,slope2,slope3,slope4,slope5
Kabiye,-1.1029356344643761,-0.005519565250996507,-0.013486116618579468,-0.022173975802469725,-0.4226469477239873
Basque,-0.5119711027797736,-0.11443837060251852,0.05791431788371581,-0.3375758412031191,-0.9599680671817169
Alemannic,-0.8533688487478294,0.1488467133523321,-0.0015839932901702115,-0.06555102231756478,0.0881325454142598
Wolof,-0.8605548507060351,0.037180819346466706,-0.0024346615782698347,-0.024536336079808672,-0.35053677839991415
Bosnian,-0.7362248685820453,-0.02669050103833519,-0.08309948611170684,-0.034691814886462835,-0.032322715080370164
Urdu,-0.031162794492567838,-0.7140052780098206,0.18959477985578058,-0.08968613195941397,1.4073702914258648
Afrikaans,-1.1805286385212337,0.09709184298781276,-0.03780283145841324,-0.1159445316637056,-0.10275500802082016
Anglo-Saxon,-0.7140836795525399,-0.004333080312634825,-0.06665345711719302,-0.08350911873642358,0.007230782171366404
Icelandic,-1.1822312160763686,-0.018436151630722118,-0.119979289851463,-0.03171871378227124,-0.1727979307932649
Belarusian,-0.9807713607285053,0.1314664581535138,-0.01642108096542739,-0.10363953184504612,-0.17735450399479108
Bulgarian,-1.0091818648935729,0.08927171673146019,-0.03220177964415543,-0.1732100241660308,-0.412525146018809
Croatian,-0.792355471532039,0.02979472715662876,-0.07268179347801759,-0.040171699788031305,-0.1579657498639631
