sentence_length,word_position,H
1,1,5.943733678189239
2,1,7.077364869019986
2,2,7.726022350421553
3,1,6.682144978744498
3,2,6.736148547023426
3,3,8.04266742269339
4,1,6.394990228224615
4,2,6.725562351369209
4,3,6.685519784248609
4,4,8.234432216400366
5,1,6.084591781193372
5,2,6.716868568963914
5,3,6.73341927877032
5,4,6.830643561773445
5,5,8.196401698946833
6,1,5.922995559574933
6,2,6.644447271130969
6,3,6.822499455689869
6,4,6.87348996151565
6,5,6.72274116682475
6,6,8.208891778192319
7,1,5.782636719950418
7,2,6.636475223588577
7,3,6.705446500473635
7,4,6.988314332979572
7,5,6.818329460635138
7,6,6.655913924035493
7,7,8.258036731987474
8,1,5.715092625150586
8,2,6.690675707330389
8,3,6.71582636485382
8,4,6.946621080208738
8,5,7.0074320867799305
8,6,6.812274334690574
8,7,6.675409060085418
8,8,8.324937760426286
9,1,5.662568865120751
9,2,6.760128149365835
9,3,6.766584749350822
9,4,6.9306639359773135
9,5,6.954002477482951
9,6,7.031337660656589
9,7,6.827307356678326
9,8,6.679682396966927
9,9,8.389745177248107
10,1,5.6379160131054205
10,2,6.829897566367052
10,3,6.806866560387859
10,4,6.986322023439068
10,5,6.968308709082163
10,6,6.969088326099127
10,7,7.048905860459238
10,8,6.820415951441809
10,9,6.683766175484962
10,10,8.45543030520729
11,1,5.644526278637138
11,2,6.878473965787206
11,3,6.86104050406183
11,4,7.012962853986454
11,5,7.038108265651012
11,6,6.984873535074154
11,7,7.0252941089298835
11,8,7.088632197440123
11,9,6.808323021071711
11,10,6.714588588716924
11,11,8.521716860248747
12,1,5.635073197800473
12,2,6.9459655600172745
12,3,6.916164760307967
12,4,7.035884351857371
12,5,7.0604341871905
12,6,7.065258331591937
12,7,7.039537696946384
12,8,7.042980103978307
12,9,7.109663615244867
12,10,6.824730326055479
12,11,6.746364917259677
12,12,8.575978286674879
13,1,5.620243497205566
13,2,7.002915190465591
13,3,6.9476722255481445
13,4,7.066666417150848
13,5,7.0752710460411485
13,6,7.081283033522198
13,7,7.08238609947141
13,8,7.051950891942686
13,9,7.068617036477746
13,10,7.129889584806542
13,11,6.808273114970443
13,12,6.780530795842368
13,13,8.619038619956171
14,1,5.625827257105874
14,2,7.032735995334406
14,3,6.9856798462458745
14,4,7.083278925507345
14,5,7.115844143271177
14,6,7.100174635591674
14,7,7.113075259546025
14,8,7.0761169981002805
14,9,7.050688756439047
14,10,7.077658646079246
14,11,7.139103428389142
14,12,6.792404306776872
14,13,6.790967823017371
14,14,8.631884919710004
15,1,5.609439041446269
15,2,7.074913197946649
15,3,7.005120954850137
15,4,7.094960090512901
15,5,7.1291034312133394
15,6,7.121745772255355
15,7,7.134561574707499
15,8,7.117909629079747
15,9,7.0962344262444
15,10,7.065435018261611
15,11,7.107447528306896
15,12,7.139781386303584
15,13,6.7955671441613354
15,14,6.811655686950654
15,15,8.669820274397905
16,1,5.606895638818625
16,2,7.105524285810645
16,3,7.021298683565802
16,4,7.095078744349381
16,5,7.1308486273330605
16,6,7.118905868925053
16,7,7.138437751360838
16,8,7.142936769211213
16,9,7.129859175263318
16,10,7.08994717569244
16,11,7.061620105204584
16,12,7.096683397256295
16,13,7.168101290544346
16,14,6.798041841130175
16,15,6.802480155067924
16,16,8.685554335880507
17,1,5.595656949943624
17,2,7.114800445749328
17,3,7.046313387146712
17,4,7.102280048162877
17,5,7.135665044458975
17,6,7.146026367143955
17,7,7.158484586227244
17,8,7.1507017865804166
17,9,7.12837393013
17,10,7.122476865325879
17,11,7.110807085372175
17,12,7.074444839813589
17,13,7.095170130496103
17,14,7.159885124958142
17,15,6.788038250374268
17,16,6.8213434086424485
17,17,8.690025406323942
18,1,5.596576029963369
18,2,7.129319598778354
18,3,7.061864152384038
18,4,7.113385659278684
18,5,7.14315400559886
18,6,7.150128565468588
18,7,7.158140263146718
18,8,7.15906594121274
18,9,7.131255389692283
18,10,7.136358357048086
18,11,7.116420786838683
18,12,7.121377281444298
18,13,7.06184661992333
18,14,7.099949124622243
18,15,7.171948871235822
18,16,6.770585701524655
18,17,6.8162794949595105
18,18,8.70423403608832
19,1,5.580303223982466
19,2,7.151703219765991
19,3,7.062976102187665
19,4,7.1359829325599975
19,5,7.135031306238298
19,6,7.150686525985421
19,7,7.160131594848676
19,8,7.161345766752787
19,9,7.154154783444328
19,10,7.14514307127679
19,11,7.122061587628981
19,12,7.117532246921372
19,13,7.115058030056198
19,14,7.054548352851936
19,15,7.112764172608425
19,16,7.1591957066402445
19,17,6.776813096908648
19,18,6.821111189889667
19,19,8.697363592714606
20,1,5.57416745782802
20,2,7.165772426299436
20,3,7.0781326540641105
20,4,7.121129732190281
20,5,7.154134455697329
20,6,7.148687994417508
20,7,7.180361291172822
20,8,7.1436578942734394
20,9,7.159277707766823
20,10,7.148119756161035
20,11,7.133441912758431
20,12,7.12342521353041
20,13,7.10790992239562
20,14,7.1200034544378505
20,15,7.054931662065983
20,16,7.095706998094263
20,17,7.169021537143219
20,18,6.75063542920852
20,19,6.841447759624445
20,20,8.710670672550881
21,1,5.54243571968112
21,2,7.161876974116393
21,3,7.07297937406806
21,4,7.112361090537578
21,5,7.16219859874792
21,6,7.144927125983054
21,7,7.169895074693494
21,8,7.152199349168554
21,9,7.142778112887131
21,10,7.16536106638843
21,11,7.133516319175094
21,12,7.126940407976999
21,13,7.116368432532678
21,14,7.108860977769528
21,15,7.098246341674759
21,16,7.052334655408935
21,17,7.100022036109782
21,18,7.160138884904431
21,19,6.744093976725519
21,20,6.845099059687919
21,21,8.706349593814563
22,1,5.548878897945283
22,2,7.15855386563941
22,3,7.093579370012703
22,4,7.113641044011696
22,5,7.146277053243612
22,6,7.149521247122163
22,7,7.1672222747109675
22,8,7.163033895439146
22,9,7.158424281199536
22,10,7.1567317747687795
22,11,7.146237130904095
22,12,7.124693203394302
22,13,7.126206965217425
22,14,7.111022166126093
22,15,7.119261870697426
22,16,7.097192521674105
22,17,7.051633928724175
22,18,7.107637357333453
22,19,7.162425381479778
22,20,6.740618975730927
22,21,6.838127293665676
22,22,8.699874537135807
23,1,5.543537405651239
23,2,7.146866750586657
23,3,7.0841411774507375
23,4,7.108036277873909
23,5,7.150914642013313
23,6,7.1338358529801145
23,7,7.157220500500268
23,8,7.1541247747947505
23,9,7.165498404978367
23,10,7.153799271764993
23,11,7.1448404247261275
23,12,7.118134638395461
23,13,7.109665524965341
23,14,7.1060112865039455
23,15,7.116726782635242
23,16,7.088881350680722
23,17,7.082756053702354
23,18,7.04280514213648
23,19,7.091959610358922
23,20,7.149108484584308
23,21,6.748831804010134
23,22,6.811721035548652
23,23,8.70068695348088
24,1,5.521960198109737
24,2,7.143429634857475
24,3,7.080858779139937
24,4,7.109530253924631
24,5,7.1413783906610036
24,6,7.1436785862225936
24,7,7.158421805569165
24,8,7.172484710057443
24,9,7.171055953661233
24,10,7.1574820953197245
24,11,7.132890069602861
24,12,7.135947473925729
24,13,7.130581338201878
24,14,7.1037884802927955
24,15,7.108555226647695
24,16,7.098685129425897
24,17,7.103991350939181
24,18,7.077700100428993
24,19,7.034568929567141
24,20,7.079484195492535
24,21,7.145111110052906
24,22,6.718442309133012
24,23,6.828360758818274
24,24,8.698215704082699
25,1,5.497318949602662
25,2,7.1452771311063
25,3,7.072847496806156
25,4,7.101808344517711
25,5,7.130352383287527
25,6,7.141745263993996
25,7,7.149194410950959
25,8,7.158228699360431
25,9,7.141966678045344
25,10,7.147925638824103
25,11,7.149438688191227
25,12,7.124112592556368
25,13,7.117766744871596
25,14,7.1244075991193645
25,15,7.117250698016893
25,16,7.106303059983639
25,17,7.076578491219773
25,18,7.07923907023942
25,19,7.064370154633105
25,20,7.053038724915415
25,21,7.069552420982482
25,22,7.135943708736936
25,23,6.709777002131461
