position,surprisal,length
1,2.9954438368373,6
2,3.1919481296981522,6
3,3.177452294847485,6
4,3.1630068447419553,6
5,3.103451158135815,6
6,3.950931476655388,6
1,2.9348520077427844,7
2,3.180763875074568,7
3,3.116889412085709,7
4,3.2000251694297743,7
5,3.11687627529564,7
6,3.066869030656198,7
7,3.9684708367475214,7
1,2.9016527792606404,8
2,3.194768066705691,8
3,3.1120321410159826,8
4,3.173352461737758,8
5,3.1825029911659093,8
6,3.1051243953601473,8
7,3.0729063617729264,8
8,3.9940198803642657,8
1,2.874309423126699,9
2,3.2171800429522466,9
3,3.124775748049922,9
4,3.1614630726248296,9
5,3.1538832424724537,9
6,3.1818785063751607,9
7,3.106168622877481,9
8,3.0735907116352204,9
9,4.027678155371913,9
1,2.8574646164525865,10
2,3.2297376142799266,10
3,3.13017186187016,10
4,3.1746970575300346,10
5,3.1494358844792214,10
6,3.144092488839084,10
7,3.181113100109594,10
8,3.096656778085379,10
9,3.0751482991409085,10
10,4.0520939894992445,10
1,2.853498099496831,11
2,3.2361196768257345,11
3,3.1446927307863093,11
4,3.1798694437052806,11
5,3.1752523790835445,11
6,3.147434395795636,11
7,3.1648187353056914,11
8,3.194846230914252,11
9,3.092288355664145,11
10,3.089080474576526,11
11,4.084974934014976,11
1,2.8459599336331602,12
2,3.2571406264534026,12
3,3.1617406942285604,12
4,3.18567687873207,12
5,3.182014158657714,12
6,3.1801769028915463,12
7,3.167586845194351,12
8,3.1693370957600644,12
9,3.203968320331826,12
10,3.0969653348911024,12
11,3.1048376158310904,12
12,4.115007676562439,12
1,2.8342689539451547,13
2,3.2731524400040928,13
3,3.1714138306749966,13
4,3.1967192650427485,13
5,3.1864868996941653,13
6,3.1854433729415845,13
7,3.185105253548365,13
8,3.170789843643981,13
9,3.179037854498272,13
10,3.2119586711691075,13
11,3.090364055442494,13
12,3.1211972979103186,13
13,4.141212456957456,13
1,2.8324665721340665,14
2,3.2817610891146605,14
3,3.1852802619446625,14
4,3.2011332686823195,14
5,3.204620662777923,14
6,3.1924866992115444,14
7,3.196509005380699,14
8,3.180972799883623,14
9,3.1712454116435365,14
10,3.1825654265706556,14
11,3.215541358523174,14
12,3.0838099804148844,14
13,3.1307503543324313,14
14,4.15357963034244,14
1,2.8247456285917885,15
2,3.2948201761665814,15
3,3.1910731728630983,15
4,3.206208872512738,15
5,3.210663458900937,15
6,3.201915837773608,15
7,3.2067321214782836,15
8,3.1997437275413008,15
9,3.190938964360028,15
10,3.1783584112441954,15
11,3.1964892452499436,15
12,3.217879815342225,15
13,3.0863894701089087,15
14,3.142629618861863,15
15,4.177613383025332,15
1,2.823672637741824,16
2,3.308798275967448,16
3,3.1990235956476196,16
4,3.2079202369280235,16
5,3.211486886491756,16
6,3.2011853163341426,16
7,3.2113320854981198,16
8,3.2123714905153467,16
9,3.2053017963863373,16
10,3.188192966396207,16
11,3.1769972619645053,16
12,3.1955681101137747,16
13,3.2307933840751795,16
14,3.0925325455001786,16
15,3.1419957579009514,16
16,4.1901004837003715,16
1,2.818663715455276,17
2,3.30661319425059,17
3,3.2074384626307038,17
4,3.2101796503521762,17
5,3.2136091976353436,17
6,3.2143728800906755,17
7,3.2175754133721113,17
8,3.2141514268725127,17
9,3.206008591067614,17
10,3.2033039472825444,17
11,3.196631143100646,17
12,3.18352339031344,17
13,3.192219206798777,17
14,3.2283201675860824,17
15,3.088680903650053,17
16,3.1522164444452057,17
17,4.1993370306620665,17
1,2.8207347797777707,18
2,3.3118264605584553,18
3,3.2160838286855165,18
4,3.2151157312152168,18
5,3.219147721629255,18
6,3.218076284788498,18
7,3.21951760532774,18
8,3.218811185900285,18
9,3.208704863895738,18
10,3.2100374032328927,18
11,3.2023274698158763,18
12,3.205427069544974,18
13,3.1787624886330015,18
14,3.196293281198886,18
15,3.2372274159070096,18
16,3.0825757861334018,18
17,3.157000398560953,18
18,4.211909797032246,18
1,2.815893068985961,19
2,3.321424912997951,19
3,3.2162476571810363,19
4,3.225536123406259,19
5,3.215358326443535,19
6,3.2207756320339804,19
7,3.223016436924128,19
8,3.223116145679176,19
9,3.2201613963307314,19
10,3.215901786893954,19
11,3.2059685946350296,19
12,3.2040380700045756,19
13,3.204419210767741,19
14,3.1777481227404456,19
15,3.2047478022958624,19
16,3.233966706715829,19
17,3.0872791945693767,19
18,3.1606416795328696,19
19,4.216358214386609,19
1,2.8119987160486692,20
2,3.3274539531353815,20
3,3.2241048167557382,20
4,3.2217682236984917,20
5,3.227813706147645,20
6,3.2203487382209106,20
7,3.2339706044494427,20
8,3.2175092957582763,20
9,3.225249440528513,20
10,3.219852572086609,20
11,3.21316286129831,20
12,3.209133076808424,20
13,3.2024213158822192,20
14,3.2084398825750227,20
15,3.1813246660049934,20
16,3.200523835006087,20
17,3.2409487632365583,20
18,3.0783865609282683,20
19,3.1746420761962733,20
20,4.2276929897557585,20
1,2.802993266564988,21
2,3.326380386721659,21
3,3.2236014596236466,21
4,3.22014904678997,21
5,3.232402988624191,21
6,3.222194744071146,21
7,3.2316319613929942,21
8,3.222466589073151,21
9,3.2189732284241277,21
10,3.230096645318497,21
11,3.2140872904601308,21
12,3.2108531799944147,21
