length,n,m,source,language
1,349758,0.05814763092269327,adult,bnc
2,266143,0.10239418121363258,adult,bnc
3,251630,0.1442279301745636,adult,bnc
4,254344,0.18651288445552786,adult,bnc
5,248886,0.22789044056525354,adult,bnc
6,239032,0.26762975893599333,adult,bnc
7,228103,0.30555211970074814,adult,bnc
8,216062,0.34147265170407315,adult,bnc
9,203736,0.3753439733998338,adult,bnc
10,192487,0.40734513715710724,adult,bnc
11,186018,0.4382708229426434,adult,bnc
12,180102,0.46821296758104736,adult,bnc
13,175925,0.49746068162926016,adult,bnc
14,171766,0.526016957605985,adult,bnc
15,168381,0.5540104738154613,adult,bnc
16,165147,0.5814663341645885,adult,bnc
17,160585,0.6081637572734829,adult,bnc
18,156152,0.6341241895261845,adult,bnc
19,150751,0.6591866999168745,adult,bnc
20,145321,0.6833464671654198,adult,bnc
21,139643,0.7065622610141313,adult,bnc
22,132196,0.7285399833748961,adult,bnc
23,125647,0.749428927680798,adult,bnc
24,118600,0.7691463009143807,adult,bnc
25,111440,0.7876733167082294,adult,bnc
26,104355,0.8050224438902743,adult,bnc
27,97171,0.8211772236076476,adult,bnc
28,90430,0.8362113050706567,adult,bnc
29,83116,0.8500294264339152,adult,bnc
30,77721,0.8629506234413965,adult,bnc
31,71764,0.8748814630091438,adult,bnc
32,66014,0.8858563591022444,adult,bnc
33,60340,0.8958879467996675,adult,bnc
34,55472,0.9051102244389028,adult,bnc
35,51037,0.913595178719867,adult,bnc
36,46348,0.9213005818786367,adult,bnc
37,42295,0.9283321695760598,adult,bnc
38,38675,0.9347619285120532,adult,bnc
39,35045,0.9405881961762261,adult,bnc
40,31716,0.9458610141313383,adult,bnc
41,29082,0.9506959268495428,adult,bnc
42,26385,0.9550824605153783,adult,bnc
43,24059,0.9590822942643391,adult,bnc
44,22166,0.9627674147963424,adult,bnc
45,20444,0.966166251039069,adult,bnc
46,18788,0.9692897755610973,adult,bnc
47,18001,0.9722824605153783,adult,bnc
48,16824,0.975079467996675,adult,bnc
49,16366,0.9778003325020781,adult,bnc
50,15766,0.9804214463840399,adult,bnc
51,15055,0.9829243557772236,adult,bnc
52,14534,0.9853406483790523,adult,bnc
53,13480,0.9875817123857024,adult,bnc
54,12319,0.9896297589359934,adult,bnc
55,11149,0.9914832917705736,adult,bnc
56,9676,0.9930919368246052,adult,bnc
57,8298,0.9944714879467996,adult,bnc
58,6741,0.9955921862011637,adult,bnc
59,5603,0.9965236907730673,adult,bnc
60,4567,0.9972829592684954,adult,bnc
61,3474,0.9978605153782211,adult,bnc
62,2823,0.9983298420615129,adult,bnc
63,2283,0.9987093931837074,adult,bnc
64,1716,0.9989946799667498,adult,bnc
65,1370,0.9992224438902743,adult,bnc
66,1110,0.9994069825436409,adult,bnc
67,851,0.9995484621778886,adult,bnc
68,721,0.9996683291770574,adult,bnc
69,512,0.9997534497090607,adult,bnc
70,417,0.9998227763923524,adult,bnc
71,291,0.9998711554447215,adult,bnc
72,241,0.9999112219451372,adult,bnc
73,178,0.9999408146300914,adult,bnc
74,129,0.9999622610141313,adult,bnc
75,69,0.9999737323358271,adult,bnc
76,57,0.9999832086450541,adult,bnc
77,40,0.9999898586866168,adult,bnc
78,18,0.99999285120532,adult,bnc
79,6,0.9999938487115545,adult,bnc
80,6,0.9999948462177889,adult,bnc
81,5,0.9999956774729842,adult,bnc
82,3,0.9999961762261014,adult,bnc
83,4,0.9999968412302577,adult,bnc
84,3,0.9999973399833749,adult,bnc
85,2,0.999997672485453,adult,bnc
86,1,0.9999978387364921,adult,bnc
88,5,0.9999986699916874,adult,bnc
89,1,0.9999988362427266,adult,bnc
91,1,0.9999990024937656,adult,bnc
92,1,0.9999991687448047,adult,bnc
96,1,0.9999993349958437,adult,bnc
102,1,0.9999995012468827,adult,bnc
103,1,0.9999996674979219,adult,bnc
105,2,1,adult,bnc
