length,position,mean,sem,gram
15,1,2.82496822731625,0.00768422435099908,unigram
15,2,3.3163421867558767,0.007880992683797012,unigram
15,3,3.206954193136601,0.007677952801264272,unigram
15,4,3.2160700724796922,0.008125522989538463,unigram
15,5,3.2141351748577485,0.008189950651330227,unigram
15,6,3.2140568138994623,0.008269249776430931,unigram
15,7,3.225759648342032,0.008288511433287146,unigram
15,8,3.2071750072989835,0.008303305438332957,unigram
15,9,3.2001228395636305,0.008300673951985594,unigram
15,10,3.1930189856728015,0.008261623085170193,unigram
15,11,3.2092742704626613,0.008271222119378994,unigram
15,12,3.2353620023819802,0.008266336517530561,unigram
15,13,3.0849449363183297,0.00832305585011765,unigram
15,14,3.1397130550877055,0.008554580228050139,unigram
15,15,4.240171616587529,0.006074296201970081,unigram
30,1,2.7974493774852682,0.010946818085597373,unigram
30,2,3.2965789973903727,0.011463796863605394,unigram
30,3,3.2501277237468433,0.011188191877606413,unigram
30,4,3.2009425456569987,0.011414893367165878,unigram
30,5,3.205980851128798,0.011739823188248533,unigram
30,6,3.2366522011020127,0.011850999207656919,unigram
30,7,3.2340983936175096,0.011737374354081134,unigram
30,8,3.2152830976123057,0.011880424101200477,unigram
30,9,3.23785132210913,0.011735517735713134,unigram
30,10,3.2456353985536084,0.011879650570826652,unigram
30,11,3.2163422485650877,0.011784491722162891,unigram
30,12,3.2061164537078137,0.011740673171903257,unigram
30,13,3.222459188176322,0.011768878608891763,unigram
30,14,3.2164729620111734,0.011765540752645064,unigram
30,15,3.2053574953470574,0.011681388808210128,unigram
30,16,3.2085636645748834,0.01171617384352721,unigram
30,17,3.2105141513660365,0.011840627286830788,unigram
30,18,3.2276902954618505,0.011797910246995136,unigram
30,19,3.2014056828346216,0.011799533254533865,unigram
30,20,3.204641048756409,0.01174035741321309,unigram
30,21,3.197883796517946,0.01176105552887392,unigram
30,22,3.210172921129563,0.011718767149682216,unigram
30,23,3.193478907499809,0.011684469713293833,unigram
30,24,3.2069405710874723,0.01168712885516039,unigram
30,25,3.151982773949644,0.011733836846487355,unigram
30,26,3.219926287548787,0.011876269101177483,unigram
30,27,3.2242963719675517,0.011780752882332646,unigram
30,28,3.0669188939695418,0.011860571600229762,unigram
30,29,3.1499223458942374,0.012018522940345515,unigram
30,30,4.267479984587128,0.00821690646585433,unigram
45,1,2.7808046092918937,0.02225547300778844,unigram
45,2,3.271925989714835,0.023909246014610048,unigram
45,3,3.237770557962192,0.023132288635517282,unigram
45,4,3.194924397180391,0.023252170240751047,unigram
45,5,3.2160335183595,0.024270956577331665,unigram
45,6,3.226736948766421,0.02431436040070499,unigram
45,7,3.2316262424223003,0.024677460610198165,unigram
45,8,3.2261499737263697,0.02439838928146388,unigram
45,9,3.2138515425504646,0.023952917328267934,unigram
45,10,3.2559950983338672,0.024655682697251543,unigram
45,11,3.2145029190644023,0.024899964946192225,unigram
45,12,3.217542710541493,0.024624588179038384,unigram
45,13,3.2225468422620955,0.024095312311929327,unigram
45,14,3.1956421736943286,0.02425660160240233,unigram
45,15,3.222385936270426,0.024403234754758835,unigram
45,16,3.1927714263056712,0.024103433984744165,unigram
45,17,3.2423006760974045,0.024094805160917127,unigram
45,18,3.217565855751362,0.02461028801122247,unigram
45,19,3.19642713258571,0.024081745322310676,unigram
45,20,3.218312449727651,0.024409534617011824,unigram
45,21,3.2060498138737583,0.024210067277579253,unigram
45,22,3.2149873602691446,0.023973254762338265,unigram
45,23,3.1738787495033645,0.024069206661083357,unigram
45,24,3.1902794658122398,0.024225081764372207,unigram
45,25,3.1795832353412368,0.024233285979009846,unigram
45,26,3.1932511350528676,0.0245894362877622,unigram
45,27,3.172673885197052,0.024037365966874738,unigram
45,28,3.1852816087792375,0.02434372726378064,unigram
45,29,3.2157089921179107,0.02433886798071377,unigram
45,30,3.2090516705543095,0.024021048683414117,unigram
45,31,3.182434810701698,0.02379334466671362,unigram
45,32,3.178646843864146,0.02448227749024858,unigram
45,33,3.2275454063441207,0.024379588354436182,unigram
