length,n,m,source,language
1,354369,0.058914253642063937,adult,bnc
2,291264,0.10733722848693499,adult,bnc
3,268385,0.1519565432794968,adult,bnc
4,264998,0.19601276542827295,adult,bnc
5,253294,0.2381231841218182,adult,bnc
6,242271,0.27840101639302833,adult,bnc
7,227434,0.31621218035722715,adult,bnc
8,213630,0.351728413451979,adult,bnc
9,200292,0.38502718871300995,adult,bnc
10,190247,0.4166559711760407,adult,bnc
11,183433,0.4471519183055151,adult,bnc
12,178416,0.47681378341731234,adult,bnc
13,174372,0.5058033288800192,adult,bnc
14,170690,0.5341807376098006,adult,bnc
15,166901,0.5619282207336463,adult,bnc
16,164446,0.5892675572851587,adult,bnc
17,159899,0.6158509498593183,adult,bnc
18,155174,0.6416488057514917,adult,bnc
19,149725,0.6665407591293494,adult,bnc
20,144072,0.6904928947583673,adult,bnc
21,138336,0.7134914137931264,adult,bnc
22,130638,0.7352101314780591,adult,bnc
23,124622,0.7559286822468377,adult,bnc
24,117052,0.7753887118129422,adult,bnc
25,109936,0.793665698198303,adult,bnc
26,102533,0.8107119273229775,adult,bnc
27,95583,0.8266027109577463,adult,bnc
28,88732,0.8413545079664226,adult,bnc
29,81616,0.8549232617943553,adult,bnc
30,76150,0.8675832868384284,adult,bnc
31,70164,0.8792481325008362,adult,bnc
32,64484,0.88996867163336435,adult,bnc
33,58815,0.8997467329986587,adult,bnc
34,54268,0.9087688503866004,adult,bnc
35,49659,0.9170247162259128,adult,bnc
36,44984,0.9245033579407201,adult,bnc
37,40802,0.9312867373477888,adult,bnc
38,37535,0.937526974249027,adult,bnc
39,34013,0.9431816746012799,adult,bnc
40,30530,0.948257322199383,adult,bnc
41,28072,0.9529243244717037,adult,bnc
42,25170,0.9571088659078077,adult,bnc
43,22793,0.9608982283612492,adult,bnc
44,20930,0.964377864922936,adult,bnc
45,18761,0.9674969027410825,adult,bnc
46,17145,0.9703472787014322,adult,bnc
47,15501,0.9729243377717957,adult,bnc
48,13852,0.9752272486964247,adult,bnc
49,12869,0.9773667347409707,adult,bnc
50,11488,0.9792766279478823,adult,bnc
51,10335,0.9809948335792742,adult,bnc
52,9463,0.9825680682081916,adult,bnc
53,8538,0.9839875205237044,adult,bnc
54,7804,0.9852849444953912,adult,bnc
55,7076,0.9864613376301498,adult,bnc
56,6531,0.9875471238883616,adult,bnc
57,5875,0.9885238493924186,adult,bnc
58,5261,0.9893984966906046,adult,bnc
59,4838,0.9902028197524986,adult,bnc
60,4444,0.9909416398614397,adult,bnc
61,3982,0.99160365193925315,adult,bnc
62,3717,0.9922216074624156,adult,bnc
63,3351,0.9927787150648146,adult,bnc
64,3070,0.99328910609416865,adult,bnc
65,2764,0.9937486242717368,adult,bnc
66,2521,0.9941677434199457,adult,bnc
67,2342,0.9945571036123715,adult,bnc
68,2188,0.9949208611277547,adult,bnc
69,2049,0.9952615097333398,adult,bnc
70,1831,0.9955659155883063,adult,bnc
71,1647,0.9958397312317415,adult,bnc
72,1545,0.9960965892579147,adult,bnc
73,1338,0.9963190332961153,adult,bnc
74,1357,0.9965446361061586,adult,bnc
75,1146,0.9967351599236308,adult,bnc
76,1170,0.9969296737686941,adult,bnc
77,1039,0.9971024087131563,adult,bnc
78,958,0.9972616773144987,adult,bnc
79,960,0.9974212784181402,adult,bnc
80,756,0.9975469642872581,adult,bnc
81,742,0.9976703226402811,adult,bnc
82,721,0.9977901897191619,adult,bnc
83,711,0.9979083942865465,adult,bnc
84,655,0.998017288789552,adult,bnc
85,582,0.9981140469586347,adult,bnc
86,529,0.9982019938167872,adult,bnc
87,523,0.998288943168042,adult,bnc
88,501,0.998372234994005,adult,bnc
89,435,0.9984445542440926,adult,bnc
90,395,0.9985102234481952,adult,bnc
91,415,0.9985792176752902,adult,bnc
92,360,0.9986390680891558,adult,bnc
93,356,0.9986982534984229,adult,bnc
94,291,0.9987466325829644,adult,bnc
95,322,0.9988001654531441,adult,bnc
96,296,0.9988493757934336,adult,bnc
97,279,0.9988957598641794,adult,bnc
98,254,0.9989379876561847,adult,bnc
99,255,0.9989803816993394,adult,bnc
100,235,0.9990194507195017,adult,bnc
101,259,0.9990625097672551,adult,bnc
102,184,0.9990930999787864,adult,bnc
103,209,0.9991278464690583,adult,bnc
104,182,0.9991581041782904,adult,bnc
105,183,0.9991885281386721,adult,bnc
106,198,0.9992214458662981,adult,bnc
107,160,0.9992480460502384,adult,bnc
108,176,0.9992773062525727,adult,bnc
109,149,0.9993020776738671,adult,bnc
110,139,0.9993251865836652,adult,bnc
111,140,0.999348461744613,adult,bnc
112,135,0.9993709056498126,adult,bnc
113,115,0.9993900245320196,adult,bnc
114,138,0.9994129671906681,adult,bnc
115,125,0.9994337485843715,adult,bnc
116,91,0.9994488774389875,adult,bnc
117,99,0.9994653363028005,adult,bnc
118,123,0.9994857851942046,adult,bnc
119,81,0.9994992515373243,adult,bnc
120,93,0.9995147128942397,adult,bnc
121,70,0.9995263504747135,adult,bnc
122,81,0.9995398168178333,adult,bnc
123,83,0.9995536156632523,adult,bnc
124,87,0.9995680795132699,adult,bnc
125,71,0.9995798833448933,adult,bnc
126,67,0.9995910221719183,adult,bnc
127,73,0.999603158505841,adult,bnc
128,76,0.9996157935932127,adult,bnc
129,75,0.9996282624294347,adult,bnc
130,72,0.9996402325122078,adult,bnc
131,64,0.9996508725857839,adult,bnc
132,50,0.9996591851432652,adult,bnc
133,65,0.999669991467991,adult,bnc
134,65,0.9996807977927168,adult,bnc
135,47,0.9996886115967492,adult,bnc
136,27,0.9996931003777891,adult,bnc
137,51,0.9997015791864201,adult,bnc
138,52,0.9997102242462007,adult,bnc
139,44,0.9997175392967842,adult,bnc
140,42,0.9997245218450685,adult,bnc
141,38,0.9997308393887544,adult,bnc
142,40,0.9997374894347394,adult,bnc
143,44,0.999744804485323,adult,bnc
144,33,0.9997502907732607,adult,bnc
145,29,0.9997551120565998,adult,bnc
