language1,language2,wals_dist
Abkhazian,Abkhazian,107
Abkhazian,Acehnese,16
Abkhazian,Adyghe,13
Abkhazian,Afar,13
Abkhazian,Afrikaans,4
Abkhazian,Akan,16
Abkhazian,Alemannic,0
Abkhazian,Amharic,37
Abkhazian,Arabic,2
Abkhazian,Armenian,36
Abkhazian,Assamese,14
Abkhazian,Avar,25
Abkhazian,Bambara,31
Abkhazian,Bashkir,17
Abkhazian,Basque,59
Abkhazian,Bavarian,0
Abkhazian,Belarusian,2
Abkhazian,Bengali,12
Abkhazian,Bhojpuri,12
Abkhazian,Bislama,2
Abkhazian,Breton,11
Abkhazian,Buginese,3
Abkhazian,Bulgarian,24
Abkhazian,Burmese,39
Abkhazian,Cantonese,24
Abkhazian,Catalan,16
Abkhazian,Cebuano,6
Abkhazian,Chamorro,37
Abkhazian,Chavacano,0
Abkhazian,Chechen,19
Abkhazian,Cherokee,17
Abkhazian,Cheyenne,1
Abkhazian,Chichewa,8
Abkhazian,Chinese,33
Abkhazian,Choctaw,24
Abkhazian,Chuvash,24
Abkhazian,Cornish,8
Abkhazian,Croatian,15
Abkhazian,Czech,13
Abkhazian,Danish,10
Abkhazian,Divehi,6
Abkhazian,Dutch,20
Abkhazian,English,44
Abkhazian,Erzya,14
Abkhazian,Estonian,15
Abkhazian,Ewe,34
Abkhazian,Faroese,4
Abkhazian,Fijian,33
Abkhazian,Finnish,41
Abkhazian,French,38
Abkhazian,Gagauz,0
Abkhazian,Galician,2
Abkhazian,Georgian,46
Abkhazian,German,36
Abkhazian,Gilaki,2
Abkhazian,Greek,40
Abkhazian,Greenlandic,44
Abkhazian,Gujarati,15
Abkhazian,Hakka,7
Abkhazian,Hausa,31
Abkhazian,Hawaiian,16
Abkhazian,Hebrew,3
Abkhazian,Herero,1
Abkhazian,Hindi,49
Abkhazian,Hungarian,42
Abkhazian,Icelandic,17
Abkhazian,Igbo,28
Abkhazian,Indonesian,32
Abkhazian,Ingush,36
Abkhazian,Irish,5
Abkhazian,Japanese,38
Abkhazian,Javanese,4
Abkhazian,Kabardian,29
Abkhazian,Kabiye,4
Abkhazian,Kabyle,5
Abkhazian,Kannada,49
Abkhazian,Kapampangan,8
Abkhazian,Karachay-Balkar,19
Abkhazian,Karakalpak,19
Abkhazian,Kashmiri,23
Abkhazian,Kazakh,1
Abkhazian,Khmer,21
Abkhazian,Kikuyu,9
Abkhazian,Kinyarwanda,8
Abkhazian,Kirghiz,11
Abkhazian,Kirundi,3
Abkhazian,Komi-Permyak,6
Abkhazian,Korean,44
Abkhazian,Ladino,3
Abkhazian,Lak,30
Abkhazian,Lao,7
Abkhazian,Latvian,38
Abkhazian,Lezgian,55
Abkhazian,Lingala,10
Abkhazian,Lithuanian,24
Abkhazian,Livvi-Karelian,0
Abkhazian,Luganda,9
Abkhazian,Macedonian,9
Abkhazian,Maithili,11
Abkhazian,Malayalam,26
Abkhazian,Maltese,14
Abkhazian,Manx,0
Abkhazian,Maori,26
Abkhazian,Marathi,27
Abkhazian,Marshallese,5
Abkhazian,Mazandarani,3
