type,language1,language2,wals_dist
clauses,Abkhazian,Abkhazian,23
clauses,Abkhazian,Acehnese,6
clauses,Abkhazian,Adyghe,4
clauses,Abkhazian,Afar,2
clauses,Abkhazian,Akan,3
clauses,Abkhazian,Amharic,5
clauses,Abkhazian,Arabic,0
clauses,Abkhazian,Armenian,6
clauses,Abkhazian,Assamese,4
clauses,Abkhazian,Avar,1
clauses,Abkhazian,Bambara,9
clauses,Abkhazian,Bashkir,2
clauses,Abkhazian,Basque,14
clauses,Abkhazian,Belarusian,0
clauses,Abkhazian,Bengali,0
clauses,Abkhazian,Bhojpuri,1
clauses,Abkhazian,Breton,2
clauses,Abkhazian,Buginese,0
clauses,Abkhazian,Bulgarian,3
clauses,Abkhazian,Burmese,8
clauses,Abkhazian,Cantonese,4
clauses,Abkhazian,Catalan,2
clauses,Abkhazian,Cebuano,4
clauses,Abkhazian,Chamorro,9
clauses,Abkhazian,Chechen,2
clauses,Abkhazian,Cherokee,3
clauses,Abkhazian,Chichewa,3
clauses,Abkhazian,Chinese,9
clauses,Abkhazian,Choctaw,7
clauses,Abkhazian,Chuvash,3
clauses,Abkhazian,Cornish,1
clauses,Abkhazian,Croatian,4
clauses,Abkhazian,Czech,3
clauses,Abkhazian,Danish,0
clauses,Abkhazian,Divehi,3
clauses,Abkhazian,Dutch,3
clauses,Abkhazian,English,9
clauses,Abkhazian,Erzya,3
clauses,Abkhazian,Estonian,2
clauses,Abkhazian,Ewe,11
clauses,Abkhazian,Fijian,11
clauses,Abkhazian,Finnish,7
clauses,Abkhazian,French,5
clauses,Abkhazian,Georgian,11
clauses,Abkhazian,German,4
clauses,Abkhazian,Greek,10
clauses,Abkhazian,Greenlandic,12
clauses,Abkhazian,Gujarati,2
clauses,Abkhazian,Hausa,10
clauses,Abkhazian,Hawaiian,1
clauses,Abkhazian,Hindi,10
clauses,Abkhazian,Hungarian,7
clauses,Abkhazian,Icelandic,2
clauses,Abkhazian,Igbo,7
clauses,Abkhazian,Indonesian,9
clauses,Abkhazian,Ingush,6
clauses,Abkhazian,Japanese,8
clauses,Abkhazian,Kabardian,7
clauses,Abkhazian,Kabiye,1
clauses,Abkhazian,Kabyle,2
clauses,Abkhazian,Kannada,9
clauses,Abkhazian,Kapampangan,7
clauses,Abkhazian,Karachay-Balkar,3
clauses,Abkhazian,Karakalpak,3
clauses,Abkhazian,Kashmiri,6
clauses,Abkhazian,Kazakh,1
clauses,Abkhazian,Khmer,7
clauses,Abkhazian,Kikuyu,2
clauses,Abkhazian,Kinyarwanda,2
clauses,Abkhazian,Kirghiz,3
clauses,Abkhazian,Kirundi,1
clauses,Abkhazian,Komi-Permyak,0
clauses,Abkhazian,Korean,10
clauses,Abkhazian,Lak,6
clauses,Abkhazian,Lao,3
clauses,Abkhazian,Latvian,8
clauses,Abkhazian,Lezgian,12
clauses,Abkhazian,Lingala,3
clauses,Abkhazian,Lithuanian,3
clauses,Abkhazian,Luganda,2
clauses,Abkhazian,Macedonian,0
clauses,Abkhazian,Maithili,1
clauses,Abkhazian,Malayalam,7
clauses,Abkhazian,Maltese,1
clauses,Abkhazian,Maori,6
clauses,Abkhazian,Marathi,4
clauses,Abkhazian,Minangkabau,0
clauses,Abkhazian,Navajo,9
clauses,Abkhazian,Ndonga,3
clauses,Abkhazian,Nepali,5
clauses,Abkhazian,Newar,1
clauses,Abkhazian,Nuosu,0
clauses,Abkhazian,Ossetian,2
clauses,Abkhazian,Papiamentu,4
clauses,Abkhazian,Polish,3
clauses,Abkhazian,Romani,1
clauses,Abkhazian,Romanian,3
clauses,Abkhazian,Russian,6
clauses,Abkhazian,Sakha,5
clauses,Abkhazian,Samoan,5
clauses,Abkhazian,Sango,6
clauses,Abkhazian,Santali,1
clauses,Abkhazian,Sesotho,0
clauses,Abkhazian,Shona,4
clauses,Abkhazian,Sinhalese,2
clauses,Abkhazian,Slovenian,1
clauses,Abkhazian,Somali,2
clauses,Abkhazian,Spanish,9
clauses,Abkhazian,Sranan,4
clauses,Abkhazian,Sundanese,3
clauses,Abkhazian,Swati,1
clauses,Abkhazian,Swedish,2
clauses,Abkhazian,Tahitian,2
