type,language1,language2,wals_dist
clauses,Abkhazian,Abkhazian,1
clauses,Abkhazian,Acehnese,0.46153846153846156
clauses,Abkhazian,Adyghe,1
clauses,Abkhazian,Afar,0.6666666666666666
clauses,Abkhazian,Akan,0.42857142857142855
clauses,Abkhazian,Amharic,0.35714285714285715
clauses,Abkhazian,Arabic,0
clauses,Abkhazian,Armenian,0.3
clauses,Abkhazian,Assamese,1
clauses,Abkhazian,Avar,0.16666666666666666
clauses,Abkhazian,Bambara,0.5625
clauses,Abkhazian,Bashkir,0.6666666666666666
clauses,Abkhazian,Basque,0.6086956521739131
clauses,Abkhazian,Belarusian,0
clauses,Abkhazian,Bengali,0
clauses,Abkhazian,Bhojpuri,0.5
clauses,Abkhazian,Breton,0.2857142857142857
clauses,Abkhazian,Buginese,0
clauses,Abkhazian,Bulgarian,0.375
clauses,Abkhazian,Burmese,0.34782608695652173
clauses,Abkhazian,Cantonese,0.5714285714285714
clauses,Abkhazian,Catalan,0.5
clauses,Abkhazian,Cebuano,0.8
clauses,Abkhazian,Chamorro,0.42857142857142855
clauses,Abkhazian,Chechen,0.2222222222222222
clauses,Abkhazian,Cherokee,0.5
clauses,Abkhazian,Chichewa,0.6
clauses,Abkhazian,Chinese,0.4090909090909091
clauses,Abkhazian,Choctaw,0.7
clauses,Abkhazian,Chuvash,1
clauses,Abkhazian,Cornish,0.3333333333333333
clauses,Abkhazian,Croatian,0.5
clauses,Abkhazian,Czech,0.42857142857142855
clauses,Abkhazian,Danish,0
clauses,Abkhazian,Divehi,0.75
clauses,Abkhazian,Dutch,0.23076923076923078
clauses,Abkhazian,English,0.391304347826087
clauses,Abkhazian,Erzya,0.42857142857142855
clauses,Abkhazian,Estonian,0.3333333333333333
clauses,Abkhazian,Ewe,0.55
clauses,Abkhazian,Fijian,0.55
clauses,Abkhazian,Finnish,0.30434782608695654
clauses,Abkhazian,French,0.23809523809523808
clauses,Abkhazian,Georgian,0.4782608695652174
clauses,Abkhazian,German,0.21052631578947367
clauses,Abkhazian,Greek,0.43478260869565216
clauses,Abkhazian,Greenlandic,0.5454545454545454
clauses,Abkhazian,Gujarati,0.5
clauses,Abkhazian,Hausa,0.43478260869565216
clauses,Abkhazian,Hawaiian,0.3333333333333333
clauses,Abkhazian,Hindi,0.45454545454545453
clauses,Abkhazian,Hungarian,0.3181818181818182
clauses,Abkhazian,Icelandic,0.2
clauses,Abkhazian,Igbo,0.35
clauses,Abkhazian,Indonesian,0.391304347826087
clauses,Abkhazian,Ingush,0.375
clauses,Abkhazian,Japanese,0.36363636363636365
clauses,Abkhazian,Kabardian,0.7
clauses,Abkhazian,Kabiye,0.3333333333333333
clauses,Abkhazian,Kabyle,0.3333333333333333
clauses,Abkhazian,Kannada,0.391304347826087
clauses,Abkhazian,Kapampangan,0.7777777777777778
clauses,Abkhazian,Karachay-Balkar,0.75
clauses,Abkhazian,Karakalpak,1
clauses,Abkhazian,Kashmiri,0.46153846153846156
clauses,Abkhazian,Kazakh,1
clauses,Abkhazian,Khmer,0.3888888888888889
clauses,Abkhazian,Kikuyu,0.5
clauses,Abkhazian,Kinyarwanda,0.5
clauses,Abkhazian,Kirghiz,0.6
clauses,Abkhazian,Kirundi,1
clauses,Abkhazian,Komi-Permyak,0
clauses,Abkhazian,Korean,0.43478260869565216
clauses,Abkhazian,Lak,0.5454545454545454
clauses,Abkhazian,Lao,0.6
clauses,Abkhazian,Latvian,0.36363636363636365
clauses,Abkhazian,Lezgian,0.5454545454545454
clauses,Abkhazian,Lingala,0.42857142857142855
clauses,Abkhazian,Lithuanian,0.375
clauses,Abkhazian,Luganda,0.3333333333333333
clauses,Abkhazian,Macedonian,0
clauses,Abkhazian,Maithili,1
clauses,Abkhazian,Malayalam,0.6363636363636364
clauses,Abkhazian,Maltese,0.16666666666666666
clauses,Abkhazian,Maori,0.2727272727272727
clauses,Abkhazian,Marathi,0.5714285714285714
clauses,Abkhazian,Minangkabau,0
clauses,Abkhazian,Navajo,0.5
clauses,Abkhazian,Ndonga,0.375
clauses,Abkhazian,Nepali,0.625
clauses,Abkhazian,Newar,0.5
clauses,Abkhazian,Nuosu,0
clauses,Abkhazian,Ossetian,0.2857142857142857
clauses,Abkhazian,Papiamentu,1
clauses,Abkhazian,Polish,0.21428571428571427
clauses,Abkhazian,Romani,0.3333333333333333
clauses,Abkhazian,Romanian,0.42857142857142855
clauses,Abkhazian,Russian,0.2608695652173913
clauses,Abkhazian,Sakha,0.625
clauses,Abkhazian,Samoan,0.38461538461538464
clauses,Abkhazian,Sango,0.35294117647058826
clauses,Abkhazian,Santali,1
clauses,Abkhazian,Sesotho,0
clauses,Abkhazian,Shona,0.5714285714285714
clauses,Abkhazian,Sinhalese,0.4
clauses,Abkhazian,Slovenian,0.3333333333333333
clauses,Abkhazian,Somali,0.18181818181818182
clauses,Abkhazian,Spanish,0.391304347826087
clauses,Abkhazian,Sranan,1
clauses,Abkhazian,Sundanese,0.25
clauses,Abkhazian,Swati,0.3333333333333333
clauses,Abkhazian,Swedish,0.25
clauses,Abkhazian,Tahitian,0.25
clauses,Abkhazian,Tajik,0.75
clauses,Abkhazian,Tamil,0.6153846153846154
clauses,Abkhazian,Telugu,0.5
clauses,Abkhazian,Tetum,0.25
clauses,Abkhazian,Thai,0.34782608695652173
clauses,Abkhazian,Tigrinya,0.5
clauses,Abkhazian,Tongan,0.6
clauses,Abkhazian,Tsonga,0
clauses,Abkhazian,Tswana,1
clauses,Abkhazian,Tulu,1
clauses,Abkhazian,Turkish,0.4782608695652174
clauses,Abkhazian,Turkmen,1
clauses,Abkhazian,Tuvan,0.8
clauses,Abkhazian,Udmurt,1
clauses,Abkhazian,Ukrainian,0.14285714285714285
clauses,Abkhazian,Urdu,0
clauses,Abkhazian,Uyghur,0.5
clauses,Abkhazian,Venda,1
clauses,Abkhazian,Vietnamese,0.30434782608695654
clauses,Abkhazian,Welsh,0.2727272727272727
clauses,Abkhazian,Wolof,0.4444444444444444
clauses,Abkhazian,Xhosa,0.3333333333333333
clauses,Abkhazian,Yoruba,0.4090909090909091
clauses,Abkhazian,Zulu,0.6086956521739131
clauses,Acehnese,Abkhazian,0.46153846153846156
clauses,Acehnese,Acehnese,1
clauses,Acehnese,Adyghe,0.75
clauses,Acehnese,Afar,0
clauses,Acehnese,Akan,0.5
clauses,Acehnese,Amharic,0.25
clauses,Acehnese,Arabic,1
clauses,Acehnese,Armenian,0.09090909090909091
clauses,Acehnese,Assamese,0.5
clauses,Acehnese,Avar,0.2
clauses,Acehnese,Bambara,0.36363636363636365
clauses,Acehnese,Bashkir,1
clauses,Acehnese,Basque,0.38461538461538464
clauses,Acehnese,Belarusian,1
clauses,Acehnese,Bengali,0.25
clauses,Acehnese,Bhojpuri,0.5
clauses,Acehnese,Breton,0.2
clauses,Acehnese,Buginese,1
clauses,Acehnese,Bulgarian,0.4
clauses,Acehnese,Burmese,0.38461538461538464
clauses,Acehnese,Cantonese,1
clauses,Acehnese,Catalan,0.5
clauses,Acehnese,Cebuano,0.8
clauses,Acehnese,Chamorro,0.3333333333333333
clauses,Acehnese,Chechen,0
clauses,Acehnese,Cherokee,0.4
clauses,Acehnese,Chichewa,1
clauses,Acehnese,Chinese,0.46153846153846156
clauses,Acehnese,Choctaw,0.7142857142857143
clauses,Acehnese,Chuvash,0.5
clauses,Acehnese,Cornish,1
clauses,Acehnese,Croatian,0.3333333333333333
clauses,Acehnese,Czech,0.2
clauses,Acehnese,Danish,0
clauses,Acehnese,Divehi,0.5
clauses,Acehnese,Dutch,0
clauses,Acehnese,English,0.15384615384615385
clauses,Acehnese,Erzya,0.2
clauses,Acehnese,Estonian,0.25
clauses,Acehnese,Ewe,0.45454545454545453
clauses,Acehnese,Fijian,0.4166666666666667
clauses,Acehnese,Finnish,0.23076923076923078
clauses,Acehnese,French,0.08333333333333333
clauses,Acehnese,Georgian,0.15384615384615385
clauses,Acehnese,German,0.1111111111111111
clauses,Acehnese,Greek,0.23076923076923078
clauses,Acehnese,Greenlandic,0.38461538461538464
clauses,Acehnese,Gujarati,0.6666666666666666
clauses,Acehnese,Hausa,0.3076923076923077
clauses,Acehnese,Hawaiian,1
clauses,Acehnese,Hindi,0.23076923076923078
clauses,Acehnese,Hungarian,0.38461538461538464
clauses,Acehnese,Icelandic,0
clauses,Acehnese,Igbo,0.25
clauses,Acehnese,Indonesian,0.6153846153846154
clauses,Acehnese,Ingush,0.25
clauses,Acehnese,Japanese,0.3076923076923077
clauses,Acehnese,Kabardian,0.5
clauses,Acehnese,Kabiye,1
clauses,Acehnese,Kabyle,0.2
clauses,Acehnese,Kannada,0.3076923076923077
clauses,Acehnese,Kapampangan,0.625
clauses,Acehnese,Karachay-Balkar,0
clauses,Acehnese,Karakalpak,0.5
clauses,Acehnese,Kashmiri,0.5555555555555556
clauses,Acehnese,Kazakh,1
clauses,Acehnese,Khmer,0.6923076923076923
clauses,Acehnese,Kikuyu,0
clauses,Acehnese,Kinyarwanda,0.5
clauses,Acehnese,Kirghiz,1
clauses,Acehnese,Korean,0.23076923076923078
clauses,Acehnese,Lak,0.2857142857142857
clauses,Acehnese,Lao,0.75
clauses,Acehnese,Latvian,0.3076923076923077
clauses,Acehnese,Lezgian,0.3076923076923077
clauses,Acehnese,Lingala,0.3333333333333333
clauses,Acehnese,Lithuanian,0.6
clauses,Acehnese,Luganda,0.25
clauses,Acehnese,Macedonian,1
clauses,Acehnese,Maithili,0
clauses,Acehnese,Malayalam,0.5714285714285714
clauses,Acehnese,Maltese,0.16666666666666666
clauses,Acehnese,Maori,0.3076923076923077
clauses,Acehnese,Marathi,0.75
clauses,Acehnese,Navajo,0.5
clauses,Acehnese,Ndonga,0.5
clauses,Acehnese,Nepali,0.42857142857142855
clauses,Acehnese,Newar,1
clauses,Acehnese,Nuosu,1
clauses,Acehnese,Ossetian,0.3333333333333333
clauses,Acehnese,Papiamentu,0.5
clauses,Acehnese,Polish,0.2727272727272727
clauses,Acehnese,Romani,0
clauses,Acehnese,Romanian,0.16666666666666666
clauses,Acehnese,Russian,0.3076923076923077
clauses,Acehnese,Sakha,0.3333333333333333
clauses,Acehnese,Samoan,0.5454545454545454
clauses,Acehnese,Sango,0.25
clauses,Acehnese,Santali,0
clauses,Acehnese,Sesotho,0
clauses,Acehnese,Shona,0.2
clauses,Acehnese,Sinhalese,0.6
clauses,Acehnese,Slovenian,1
clauses,Acehnese,Somali,0.5714285714285714
clauses,Acehnese,Spanish,0.15384615384615385
clauses,Acehnese,Sranan,0.5
clauses,Acehnese,Sundanese,0.5454545454545454
clauses,Acehnese,Swati,1
clauses,Acehnese,Swedish,0
clauses,Acehnese,Tahitian,0.5714285714285714
clauses,Acehnese,Tajik,0.5
clauses,Acehnese,Tamil,0.375
clauses,Acehnese,Telugu,0.4
clauses,Acehnese,Tetum,1
clauses,Acehnese,Thai,0.46153846153846156
clauses,Acehnese,Tigrinya,0
clauses,Acehnese,Tongan,1
clauses,Acehnese,Tsonga,1
