language1,language2,ldn
Acehnese,Abkhazian,0.5740740740740741
Adyghe,Abkhazian,0.43301435406698563
Afar,Abkhazian,0.569078947368421
Afrikaans,Abkhazian,0.5288461538461539
Akan,Abkhazian,0.5763888888888888
Alemannic,Abkhazian,0.5608974358974359
Amharic,Abkhazian,0.5544871794871795
Anglo-Saxon,Abkhazian,0.5705128205128205
Arabic,Abkhazian,0.5641025641025641
Aragonese,Abkhazian,0.6314102564102564
Armenian,Abkhazian,0.5213675213675214
Aromanian,Abkhazian,0.41203703703703703
Assamese,Abkhazian,0.5659722222222222
Asturian,Abkhazian,0.6151315789473685
Atikamekw,Abkhazian,0.5802469135802469
Avar,Abkhazian,0.5897435897435898
Bambara,Abkhazian,0.5483870967741935
Banjar,Abkhazian,0.5117845117845118
Bashkir,Abkhazian,0.5705128205128205
Basque,Abkhazian,0.6057692307692307
Bavarian,Abkhazian,0.6149068322981366
Belarusian,Abkhazian,0.5014245014245015
Bengali,Abkhazian,0.5705128205128205
Bhojpuri,Abkhazian,0.5583333333333333
Bislama,Abkhazian,0.6761904761904762
Bosnian,Abkhazian,0.5737179487179487
Breton,Abkhazian,0.5993589743589743
Buginese,Abkhazian,0.5146198830409356
Bulgarian,Abkhazian,0.5185185185185185
Burmese,Abkhazian,0.38461538461538464
Buryat,Abkhazian,0.6369047619047619
Cantonese,Abkhazian,0.3273001508295626
Catalan,Abkhazian,0.5480769230769231
Cebuano,Abkhazian,0.5050505050505051
Chamorro,Abkhazian,0.4444444444444445
Chavacano,Abkhazian,0.5498575498575499
Chechen,Abkhazian,0.5673076923076923
Cherokee,Abkhazian,0.46153846153846156
Cheyenne,Abkhazian,0.47149122807017546
Chichewa,Abkhazian,0.5555555555555556
Chinese,Abkhazian,0.5737179487179487
Choctaw,Abkhazian,0.5026315789473684
Chuvash,Abkhazian,0.5242165242165242
Cornish,Abkhazian,0.6314102564102564
Corsican,Abkhazian,0.5027027027027027
Croatian,Abkhazian,0.5961538461538461
Czech,Abkhazian,0.5833333333333334
Danish,Abkhazian,0.5448717948717948
Divehi,Abkhazian,0.49166666666666664
Dutch,Abkhazian,0.5384615384615384
Dzongkha,Abkhazian,0.5241935483870968
Emilian-Romagnol,Abkhazian,0.5608974358974359
English,Abkhazian,0.5512820512820513
Erzya,Abkhazian,0.5555555555555556
Esperanto,Abkhazian,0.6025641025641025
Estonian,Abkhazian,0.5641025641025641
Ewe,Abkhazian,0.605911330049261
Faroese,Abkhazian,0.6217948717948718
Fijian,Abkhazian,0.26007326007326004
Finnish,Abkhazian,0.592948717948718
Franco-Provençal,Abkhazian,0.6205357142857143
French,Abkhazian,0.5448717948717948
Friulian,Abkhazian,0.5865384615384616
Gagauz,Abkhazian,0.6130952380952381
Galician,Abkhazian,0.5822368421052632
Georgian,Abkhazian,0.4551282051282051
German,Abkhazian,0.592948717948718
Gilaki,Abkhazian,0.45625
Gorontalo,Abkhazian,0.569023569023569
Gothic,Abkhazian,0.6178571428571429
Greek,Abkhazian,0.5555555555555556
Greenlandic,Abkhazian,0.4812623274161736
Gujarati,Abkhazian,0.6025641025641025
Hakka,Abkhazian,0.45
Hausa,Abkhazian,0.4219114219114219
Hawaiian,Abkhazian,0.5512820512820513
Hebrew,Abkhazian,0.5673076923076923
Herero,Abkhazian,0.5288461538461539
Hindi,Abkhazian,0.532051282051282
Hungarian,Abkhazian,0.4358974358974359
Icelandic,Abkhazian,0.5
Igbo,Abkhazian,0.3608058608058608
Indonesian,Abkhazian,0.5356125356125356
Ingush,Abkhazian,0.48148148148148145
Irish,Abkhazian,0.5185185185185185
Japanese,Abkhazian,0.5737179487179487
Javanese,Abkhazian,0.5777027027027027
Kabardian,Abkhazian,0.4138755980861244
Kabiye,Abkhazian,0.5291666666666667
Kabyle,Abkhazian,0.5327635327635327
Kalmyk,Abkhazian,0.6185897435897436
Kannada,Abkhazian,0.5769230769230769
Kapampangan,Abkhazian,0.5492424242424242
Karachay-Balkar,Abkhazian,0.5277777777777778
Karakalpak,Abkhazian,0.5953947368421053
Kashmiri,Abkhazian,0.4289044289044289
Kashubian,Abkhazian,0.6041666666666666
Kazakh,Abkhazian,0.5673076923076923
Khmer,Abkhazian,0.5128205128205128
Kikuyu,Abkhazian,0.5480769230769231
Kinyarwanda,Abkhazian,0.5160256410256411
Kirghiz,Abkhazian,0.5888157894736842
Kirundi,Abkhazian,0.53125
Komi-Permyak,Abkhazian,0.5785714285714286
Konkani,Abkhazian,0.6666666666666666
Korean,Abkhazian,0.5641025641025641
Kuanyama,Abkhazian,0.5392857142857143
Ladino,Abkhazian,0.625
Lak,Abkhazian,0.5512820512820513
Lao,Abkhazian,0.5224358974358975
Latin,Abkhazian,0.5811965811965812
Lezgian,Abkhazian,0.40326340326340326
Limburgish,Abkhazian,0.5512820512820513
Lingala,Abkhazian,0.5263157894736842
Lithuanian,Abkhazian,0.6410256410256411
Livvi-Karelian,Abkhazian,0.6085526315789473
Lombard,Abkhazian,0.5512820512820513
Luganda,Abkhazian,0.5769230769230769
Luxembourgish,Abkhazian,0.5921052631578947
Macedonian,Abkhazian,0.5641025641025641
Maithili,Abkhazian,0.605
Malayalam,Abkhazian,0.5128205128205128
Maltese,Abkhazian,0.5128205128205128
Manx,Abkhazian,0.5071225071225071
Maori,Abkhazian,0.5590277777777778
Marathi,Abkhazian,0.6013513513513513
Marshallese,Abkhazian,0.5227272727272727
Mazandarani,Abkhazian,0.6666666666666666
Minangkabau,Abkhazian,0.5833333333333334
Mingrelian,Abkhazian,0.6089743589743589
Mirandese,Abkhazian,0.7100840336134454
Moksha,Abkhazian,0.5416666666666666
Muscogee,Abkhazian,0.5105263157894737
