language,1A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,81A,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,10A,110A,71A,72A,73A,74A,75A,76A,77A,78A,79A,7A,80A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A
Acehnese,Small,Exclusively concatenative,Monoexponential case,2-3 categories per word,Head marking,Head marking,Head-marking,Little affixation,Productive full and partial reduplication,No syncretism,No subject person/number marking,Three,Sex-based,Semantic and formal,No plural,No nominal plural,Person-number stem,Unique periphrastic associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately high,No inclusive/exclusive,Three-way contrast,Identical,Unrelated,No gender distinctions,No politeness distinction,Interrogative-based,Differentiated,No person marking,3 cases,In both plosives and fricatives,Syncretism in relevant NP-types,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",Marked by reduplication,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Marked by preceding word,Possessive-Accusative,'And' identical to 'with',Identity,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,None,No second-person imperatives,No dominant order,No dominant order,No dominant order,No dominant order,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,No dominant order,In either of two positions,Mixed,Initial subordinator word,Other,Other,Other,Nominative - accusative (standard),Nominative - accusative (standard),Active,Subject affixes on verb,Both the A and P arguments,Zero in all 3rd person forms,A precedes P,Mixed,Distinct from reflexive,Absent,Oblique patient,No applicative construction,Contrast absent,Both,Normal imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Indirect only,Mixed,None,Implosives only,None,Morphological but no compound,Negative affix,Symmetric,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,None,Possible
Afrikaans,Small,Ablaut/concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Three,Sex-based,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique periphrastic associative plural,No definite or indefinite article,Indefinite word same as 'one',No inclusive/exclusive,Average,No person marking,Two-way contrast,Identical,Related for all demonstratives,In 3rd person + 1st and/or 2nd person,Pronouns avoided for politeness,Special,Identical,No person marking,6-7 cases,In both plosives and fricatives,No case-marking,Case suffixes,Identity,"First, two-th, three-th",No distributive numerals,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Mixed,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,VO,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Mixed,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,OV and RelN,VO and NAdj,Active-inactive,Tripartite,Accusative,Obligatory pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; only transitive,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Indirect only,Separate particle,Tense,Ejectives only,None,Morphological but no compound,Negative affix,Asymmetric,Non-assignable,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Different,None,Possible
Albanian,Average,Exclusively concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Full reduplication only,No syncretism,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,No definite or indefinite article,"No indefinite, but definite article",No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,No morphological case-marking,In both plosives and fricatives,Additive-quantitatively asymmetrical,Case suffixes,Differentiation,"First, second, three-th",Marked by mixed or other strategies,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by suffix,Ergative-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,Second person number-neutral,SVO,VS,VO,XOV,Prepositions,Noun-Genitive,Adjective-Noun,Noun-Demonstrative,Noun-Numeral,"Laterals, but no /l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,No question particle,Mixed,Initial subordinator word,OV and Postpositions,OV and RelN,VO and NAdj,Neutral,Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; only transitive,Contrast present,Purposive but no sequential,Special imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,Modal morpheme,Tense,Ejectives only,None,Morphological but no compound,Negative affix,Asymmetric,Non-assignable,Predicate negation also present,Interrogative verb morphology,Locational,Mixed,Different,None,Possible
Alemannic,Small,Exclusively isolating,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No syncretism,Not syncretic,Three,No gender,No gender,Plural suffix,"All nouns, always obligatory",Number-indifferent pronouns,No associative plural,Definite word distinct from demonstrative,No definite or indefinite article,No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Identical,Related to remote demonstratives,3rd person singular only,Binary politeness distinction,Interrogative-based,Identical,Pronouns only,5 cases,In fricatives alone,Additive-quantitatively asymmetrical,Case suffixes,Identity,"First, second, three-th",Marked by preceding word,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by suffix,Mixed,'And' identical to 'with',Identity,No grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,No second-person imperatives,SVO,VS,VO,VOX,Prepositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Second position,Initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,OV and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Subject affixes on verb,Only the A argument,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Neither,Negative particle,Asymmetric,A/Fin and A/Cat,No predicate negation,Question particle,Genitive,Nonverbal encoding,Identical,None,Impossible
Amharic,Moderately large,Ablaut/concatenative,No case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,No case marking,Syncretic,Two,Sex-based,Semantic and formal,Plural suffix,"All nouns, optional in inanimates",Person-number stem,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No person marking,Two-way contrast,Different stem,Unrelated,In 3rd person + 1st and/or 2nd person,No politeness distinction,Generic-noun-based,Identical,Pronouns only,2 cases,In plosives alone,Symmetrical,Case suffixes,Identity,"First, two-th, three-th",Marked by reduplication,Absent,Formally different,Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Without marking,Possessive-Accusative,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Mixed type,None,Second singular and second plural,SOV,SV,OV,XOV,No dominant order,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Final subordinator word,Other,OV and RelN,OV and AdjN,Active-inactive,Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A precedes P,Double-object construction,Distinct from reflexive,Present,Oblique patient,No applicative construction,Contrast absent,Sequential but no purposive,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,No grammatical evidentials,No grammatical evidentials,None,Ejectives only,"Singular-plural pairs, no suppletion",Morphological but no compound,Double negation,Symmetric,A/Fin,Predicate negation also present,Mixture of previous two types,Locational,Nonverbal encoding,Identical,None,Impossible
Anglo-Saxon,Average,Ablaut/concatenative,Case + number,4-5 categories per word,Dependent marking,Head marking,Inconsistent or other,Little affixation,Full reduplication only,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,No person marking,2 cases,In both plosives and fricatives,Symmetrical,Case suffixes,Differentiation,"First, second, three-th",Marked by preceding word,Absent,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,No action nominals,'And' identical to 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,VO,OXV,Postpositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Neutral,Nominative - accusative (standard),Neutral,Optional pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Affixes on verbs,Other,Overlap for both possibility and necessity,Indirect only,No grammatical evidentials,Tense,Ejectives only,None,Compound but no morphological,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Interrogative intonation only,Locational,Nonverbal encoding,Different,None,Possible
Aragonese,Average,Ablaut/concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Double-marking,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Not syncretic,None,No gender,Semantic,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Special,Differentiated,No person marking,5 cases,In plosives alone,Symmetrical,Case suffixes,Differentiation,"First, second, three-th",Marked by reduplication,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,Other,Genitives and relative clauses collapsed,Marked by suffix,Other,'And' identical to 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Adjective-Degree word,Final,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and RelN,VO and AdjN,Active-inactive,Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,No grammatical evidentials,Separate particle,None,Ejectives only,"Singular-plural pairs, suppletion",Morphological but no compound,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Question particle,'Have',Verbal encoding,Identical,None,Possible
Armenian,Moderately large,Exclusively concatenative,No case,2-3 categories per word,Double marking,No marking,Dependent-marking,Strongly suffixing,Full reduplication only,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,No associative plural,Definite affix,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Different inflection,Related to remote demonstratives,No gender distinctions,Binary politeness distinction,Mixed,Identical,No person marking,5 cases,In fricatives alone,Additive-quantitatively asymmetrical,Case suffixes,Differentiation,"First, two-th, three-th",Marked by mixed or other strategies,Absent,Formally different,Possessive suffixes,Absent,No possessive classification,Other,Highly differentiated,Marked by preceding word,Possessive-Accusative,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,Uvular continuants only,Second singular and second plural,No dominant order,SV,No dominant order,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Mixed,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,Other,Other,Other,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for either possibility or necessity,Indirect only,No grammatical evidentials,Tense and aspect,Ejectives only,None,Morphological but no compound,Variation between negative word and affix,Both,A/Fin,Predicate negation also present,Interrogative intonation only,Genitive,Nonverbal encoding,Identical,None,Impossible
Assamese,Average,Exclusively concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Head marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,No subject person/number marking,Two,No gender,Semantic and formal,Plural suffix,"All nouns, optional in inanimates",Person-number stem + nominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,No definite or indefinite article,No inclusive/exclusive,Moderately low,No person marking,Four-way contrast,Different stem,Unrelated,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,No person marking,2 cases,In both plosives and fricatives,Symmetrical,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Obligatory,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and relative clauses collapsed,Marked by preceding word,Double-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second person number-neutral,SOV,SV,OV,No dominant order,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,No dominant order,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Mixed,OV and Postpositions,VO and NRel,OV and AdjN,Nominative - accusative (standard),Ergative - absolutive,Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P are fused,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Other kinds of markers,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative affix,Symmetric,A/Fin and A/Cat,Predicate negation also present,Interrogative verb morphology,Locational,Verbal encoding,Different,None,Possible
Asturian,Moderately large,Tonal/isolating,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Double-marking,Strongly suffixing,Productive full and partial reduplication,No case marking,No subject person/number marking,Three,No gender,Semantic and formal,Plural suffix,"All nouns, always optional",Person-number stem,Associative same as additive plural,Definite affix,No definite or indefinite article,No inclusive/exclusive,Average,No person marking,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Differentiated,Pronouns only,10 or more cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First, second, three-th",Marked by preceding word,Optional,"Formally similar, with interrogative",Possessive suffixes,Absent,Two classes,Other,Highly differentiated,Marked by suffix,Mixed,'And' identical to 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,No dominant order,VO,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Noun-Numeral,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,Other position,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,OV and AdjN,Active-inactive,Tripartite,Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Both,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Verbal encoding,Identical,None,Impossible
