language1,language2,cosine
Basque,Basque,1
Basque,Alemannic,0.9260276886632155
Basque,Wolof,0.9996964139850583
Basque,Bosnian,0.9891206719445845
Basque,Urdu,0.9823392405589044
Basque,Afrikaans,0.9824057539910677
Basque,Anglo-Saxon,0.9784521345149811
Basque,Slovak,0.9760446763798006
Basque,Silesian,0.955065169251272
Basque,Acehnese,0.9904076279582763
Basque,Wu,0.9992037589175212
Basque,Bashkir,0.995275092223935
Basque,Chuvash,0.9944051938429954
Basque,Gagauz,0.9946483389990136
Basque,Karachay-Balkar,0.9998296123034833
Basque,Sakha,0.9794653685745849
Basque,Tamil,0.9747068825129617
Basque,Telugu,0.9814169654366212
Basque,Georgian,0.9838876206837721
Basque,Tatar,0.9912645337182684
Basque,Uyghur,0.9763346717480564
Basque,Icelandic,0.9864586023920143
Basque,Belarusian,0.9413594395365367
Basque,Gujarati,0.9663468842274701
Basque,Marathi,0.970819446673851
Basque,Estonian,0.9690367948414529
Basque,Finnish,0.9855116446938601
Basque,Hungarian,0.9989092300558287
Basque,Bulgarian,0.9812490735576265
Basque,Yoruba,0.9834719421631168
Basque,Quechua,0.9936111837820265
Basque,Croatian,0.9784788031912484
Basque,Macedonian,0.978831126938819
Basque,Serbo-Croatian,0.9897014538855224
Basque,Pangasinan,0.9898451985370121
Basque,Kapampangan,0.9396781361680798
Basque,Khmer,0.982786278635493
Basque,Javanese,0.9870424906932909
Basque,Malay,0.971034260500022
Basque,Sundanese,0.9381647071266561
Basque,Hakka,0.9943192026933155
Basque,Turkish,0.9772574145973462
Basque,Kazakh,0.9862872426011504
Basque,Kirghiz,0.9900109442194287
Basque,Turkmen,0.9795610485559674
Basque,Persian,0.9603393299813209
Basque,Tajik,0.9939688901751125
Basque,Latin,0.9862694823992686
Basque,Galician,0.9132906010189548
Basque,Romanian,0.973970408738514
Basque,Norman,0.9523369510141497
Basque,Corsican,0.9326406419196722
Basque,Bengali,0.9706997463934305
Basque,Waray,0.9579219743499342
Basque,Welsh,0.9848396551577556
Basque,Armenian,0.9747136611179857
Basque,Korean,0.9865106248511644
Basque,Assamese,0.9379906855425204
Basque,Bhojpuri,0.957904851754408
Basque,Divehi,0.9807611373180856
Basque,Catalan,0.9395875222631948
Basque,Walloon,0.96994408011302
Basque,Yiddish,0.9517716736907884
Basque,Maltese,0.9961535703515233
Basque,Romansh,0.9450472867633605
Basque,Bavarian,0.8858218739097421
Basque,Faroese,0.9890374750644
Basque,Ripuarian,0.9165964820845522
Basque,Luxembourgish,0.9650983889812518
Basque,Limburgish,0.9629025126650935
Basque,Scots,0.9643046681974026
Basque,Zeelandic,0.9516262350963693
Basque,Aragonese,0.9761098555357798
Basque,Asturian,0.9528292141262638
Basque,Emilian-Romagnol,0.9256091249319953
Basque,Extremaduran,0.9366033532826331
Basque,Franco-Provençal,0.961887614061818
Basque,Friulian,0.9516171444765327
Basque,Ladino,0.9883525838875498
Basque,Lombard,0.9608519451559513
Basque,Mirandese,0.939354746061707
Basque,Neapolitan,0.9021390296591659
Basque,Occitan,0.9607289069540698
Basque,Picard,0.9786256394367268
Basque,Sardinian,0.955772632711183
Basque,Sicilian,0.9382669835489521
Basque,Venetian,0.9736209871965561
Basque,Czech,0.9685790859503448
Basque,Rusyn,0.9845836365547856
Basque,Slovenian,0.9822046340162184
Basque,Uzbek,0.9810881221331217
Basque,Amharic,0.9835791040672861
Basque,Zazaki,0.9979728432032412
Basque,Gilaki,0.991371575869767
Basque,Mazandarani,0.9671004869579909
Basque,Ossetian,0.999946111793432
Basque,Pashto,0.9355525130545553
Basque,Komi,0.9970861340237454
Basque,Vepsian,0.9779498283338198
Basque,Erzya,0.9958050785208546
Basque,Konkani,0.9820309415547831
Basque,Odia,0.9680264035645507
Basque,Maithili,0.9912880254670665
Basque,Sanskrit,0.9962331436561268
Basque,Sindhi,0.9780234751542887
Basque,Sinhalese,0.9577657884151751
Basque,Esperanto,0.926041770962659
Basque,Ido,0.9433157625359256
Basque,Lithuanian,0.9757610948422917
Basque,Latvian,0.9749982855230683
Basque,Kannada,0.9602947196071286
Basque,Malayalam,0.9856825895149781
Basque,Breton,0.9940594620675572
Basque,Irish,0.992857190223871
Basque,Manx,0.9574772148257348
Basque,Burmese,0.9915827658907401
Basque,Mingrelian,0.9944413900288037
Basque,Lao,0.9937249863398699
Basque,Thai,0.9590979145644828
Basque,Lezgian,0.9955059435982122
Basque,Malagasy,0.8739025547085041
Basque,Papiamentu,0.9903068004200632
Basque,Albanian,0.9894431023748166
Basque,Luganda,0.9850921387154664
Basque,Swahili,0.9872051200527412
Basque,Tswana,0.9932193671647555
Basque,Tsonga,0.9923461858923294
Basque,Buryat,0.9962995015682518
Basque,Samoan,0.892697338867327
Basque,Tongan,0.9742825933184749
Basque,Nahuatl,0.9800664099743019
Basque,Somali,0.9976469080182384
Basque,Aymara,0.9914673237598606
Basque,Guarani,0.9917978936931326
Basque,Kabyle,0.9924385202691456
Basque,Hausa,0.990578335649887
Basque,Tetum,0.9683962271590726
Basque,Tulu,0.9850703495062761
Basque,Kabiye,0.9975509757747626
Basque,Maori,0.8364269169296691
Basque,Nepali,0.9888411943162929
Basque,Mongolian,0.9908567215190875
Basque,Hindi,0.9644253968700796
Basque,Danish,0.9970603022141405
Basque,Hebrew,0.9780504489350081
Basque,Indonesian,0.9738334374038421
Basque,Serbian,0.9851952722717541
Basque,Ukrainian,0.9710955733351954
Basque,Russian,0.9667061386946678
Basque,German,0.8953551893678088
Basque,Japanese,0.9889069622282923
Basque,Arabic,0.9780822759931166
Alemannic,Basque,0.9260276886632155
Alemannic,Alemannic,1
Alemannic,Wolof,0.9257792284624567
Alemannic,Bosnian,0.8894269138671723
Alemannic,Urdu,0.9491925276115379
Alemannic,Afrikaans,0.8865869873108786
Alemannic,Anglo-Saxon,0.9818436530423504
Alemannic,Slovak,0.9842502533462643
Alemannic,Silesian,0.9640954356436763
Alemannic,Acehnese,0.9453731452522062
Alemannic,Wu,0.9210585064927955
Alemannic,Bashkir,0.9114881701752554
Alemannic,Chuvash,0.9555151278969635
Alemannic,Gagauz,0.9487844801216944
Alemannic,Karachay-Balkar,0.9309029859757286
Alemannic,Sakha,0.9806524432792981
Alemannic,Tamil,0.9852264821950637
Alemannic,Telugu,0.9768340367435809
Alemannic,Georgian,0.9767179652127872
Alemannic,Tatar,0.9185136645680828
Alemannic,Uyghur,0.984223077170088
Alemannic,Icelandic,0.9710754404730536
Alemannic,Belarusian,0.9908149228746239
Alemannic,Gujarati,0.9794888542052778
Alemannic,Marathi,0.982998518373028
Alemannic,Estonian,0.9885161899666438
Alemannic,Finnish,0.9755574788423291
Alemannic,Hungarian,0.9238654057551474
Alemannic,Bulgarian,0.9750145124483837
Alemannic,Yoruba,0.9709232136294907
Alemannic,Quechua,0.9120836018930163
Alemannic,Croatian,0.9825777439402335
Alemannic,Macedonian,0.9762033270002946
Alemannic,Serbo-Croatian,0.9668928268536754
Alemannic,Pangasinan,0.8947020526019752
Alemannic,Kapampangan,0.9977049213707253
Alemannic,Khmer,0.9762442224175203
Alemannic,Javanese,0.9649895764000942
Alemannic,Malay,0.9858512399079095
Alemannic,Sundanese,0.9665912549991549
Alemannic,Hakka,0.8902249514643068
Alemannic,Turkish,0.9837984116667731
Alemannic,Kazakh,0.9731022331134977
Alemannic,Kirghiz,0.9656481949483475
Alemannic,Turkmen,0.9815062848133115
Alemannic,Persian,0.9786855989477823
Alemannic,Tajik,0.9292218289953813
Alemannic,Latin,0.9734171772546227
Alemannic,Galician,0.9953507486442961
Alemannic,Romanian,0.9805266439523492
Alemannic,Norman,0.9770723729534714
Alemannic,Corsican,0.9824064048196316
Alemannic,Bengali,0.9655870087988929
Alemannic,Waray,0.9350409589585795
Alemannic,Welsh,0.931226609570015
Alemannic,Armenian,0.8558866678807919
Alemannic,Korean,0.9745202381602007
Alemannic,Assamese,0.9988698410861734
Alemannic,Bhojpuri,0.9898103639214624
Alemannic,Divehi,0.980547706794533
Alemannic,Catalan,0.9891817008431949
Alemannic,Walloon,0.8834063188597576
Alemannic,Yiddish,0.9914532324618596
Alemannic,Maltese,0.9173239067206304
Alemannic,Romansh,0.9829390993718726
Alemannic,Bavarian,0.9852996667664025
Alemannic,Faroese,0.9644152256882492
Alemannic,Ripuarian,0.9989847603287834
Alemannic,Luxembourgish,0.9860419521471637
Alemannic,Limburgish,0.8230159543510857
Alemannic,Scots,0.9835020443965413
Alemannic,Zeelandic,0.7936985700685962
Alemannic,Aragonese,0.9133446950264824
Alemannic,Asturian,0.9886587870457615
Alemannic,Emilian-Romagnol,0.9188703887280242
Alemannic,Extremaduran,0.9981222622025191
Alemannic,Franco-Provençal,0.9803489909653302
Alemannic,Friulian,0.991737423309148
Alemannic,Ladino,0.895350938921472
Alemannic,Lombard,0.8490936736727891
Alemannic,Mirandese,0.9762304749545103
Alemannic,Neapolitan,0.7800438980162421
Alemannic,Occitan,0.9750059556573137
Alemannic,Picard,0.9780950514451212
Alemannic,Sardinian,0.9489749271835924
Alemannic,Sicilian,0.993833480757098
Alemannic,Venetian,0.8660966758108111
Alemannic,Czech,0.9886204274902407
Alemannic,Rusyn,0.9685688399073329
Alemannic,Slovenian,0.9790739199591864
Alemannic,Uzbek,0.9662238699513496
Alemannic,Amharic,0.9760140896234526
Alemannic,Zazaki,0.9184545516545805
Alemannic,Gilaki,0.9529479269531593
Alemannic,Mazandarani,0.9634866977398593
Alemannic,Ossetian,0.9286758433438008
Alemannic,Pashto,0.9818059357469008
Alemannic,Komi,0.9456229919845771
Alemannic,Vepsian,0.9722879641299493
Alemannic,Erzya,0.9423094114672661
Alemannic,Konkani,0.9760584429199131
Alemannic,Odia,0.9804387235220078
Alemannic,Maithili,0.898546325722699
Alemannic,Sanskrit,0.9059383305846029
Alemannic,Sindhi,0.9656716289519378
Alemannic,Sinhalese,0.9922957618636422
Alemannic,Esperanto,0.9932598327218557
Alemannic,Ido,0.7878913141321667
Alemannic,Lithuanian,0.9798609747143846
Alemannic,Latvian,0.9806178858958005
Alemannic,Kannada,0.9925168419951508
Alemannic,Malayalam,0.974491620906152
Alemannic,Breton,0.8889242900177061
Alemannic,Irish,0.9008519202314962
Alemannic,Manx,0.7797442839765863
Alemannic,Burmese,0.9576621477681262
Alemannic,Mingrelian,0.9480088814978788
Alemannic,Lao,0.9554721887774421
Alemannic,Thai,0.9941684672730328
Alemannic,Lezgian,0.9474428839597385
Alemannic,Malagasy,0.7560348616755701
Alemannic,Papiamentu,0.9245891043841641
Alemannic,Albanian,0.8969037616364888
Alemannic,Luganda,0.9717812553910681
Alemannic,Swahili,0.8883559192788211
Alemannic,Tswana,0.9093948447619389
Alemannic,Tsonga,0.9280948881248265
Alemannic,Buryat,0.9462774615254522
Alemannic,Samoan,0.8364933082661766
Alemannic,Tongan,0.8206886082014999
Alemannic,Nahuatl,0.9819117865655919
Alemannic,Somali,0.9167619729909846
Alemannic,Aymara,0.8805738488606372
Alemannic,Guarani,0.888862773261504
Alemannic,Kabyle,0.9070891615672035
Alemannic,Hausa,0.8939635808998699
Alemannic,Tetum,0.9782172957787725
Alemannic,Tulu,0.9765793141343626
Alemannic,Kabiye,0.9372576878914891
Alemannic,Maori,0.804919417254637
Alemannic,Nepali,0.9504683922496475
Alemannic,Mongolian,0.9677142939020735
Alemannic,Hindi,0.989292746013679
Alemannic,Danish,0.9188510432512697
Alemannic,Hebrew,0.9830394208810375
Alemannic,Indonesian,0.9804925450405502
Alemannic,Serbian,0.9765587711796111
Alemannic,Ukrainian,0.9876260270212529
Alemannic,Russian,0.9891846140394308
Alemannic,German,0.9906694187741606
Alemannic,Japanese,0.9667749128821026
Alemannic,Arabic,0.9707168899509003
Wolof,Basque,0.9996964139850583
Wolof,Alemannic,0.9257792284624567
Wolof,Wolof,1
Wolof,Bosnian,0.9887828072375455
Wolof,Urdu,0.9832671010554296
Wolof,Afrikaans,0.9818414807194612
Wolof,Anglo-Saxon,0.978676527621633
Wolof,Slovak,0.976834016960882
Wolof,Silesian,0.9496690775696767
Wolof,Acehnese,0.9929744962841236
Wolof,Wu,0.9988149194198008
Wolof,Bashkir,0.9968705101376959
Wolof,Chuvash,0.9942287037792704
Wolof,Gagauz,0.9933954916810602
Wolof,Karachay-Balkar,0.999812934257528
Wolof,Sakha,0.9785835460569337
Wolof,Tamil,0.9738204336559666
Wolof,Telugu,0.9795139054992493
Wolof,Georgian,0.9830601577566164
Wolof,Tatar,0.9939012144421017
Wolof,Uyghur,0.9753510913413926
Wolof,Icelandic,0.9873524146822976
Wolof,Belarusian,0.9390465084849909
Wolof,Gujarati,0.9657407160268402
Wolof,Marathi,0.9700029886146309
Wolof,Estonian,0.9678261412741781
Wolof,Finnish,0.9846654249409403
Wolof,Hungarian,0.9995085586437228
Wolof,Bulgarian,0.9791314222115078
Wolof,Yoruba,0.9816085444063583
Wolof,Quechua,0.990760780842138
Wolof,Croatian,0.9776615669279649
Wolof,Macedonian,0.97644544726021
Wolof,Serbo-Croatian,0.9896948919192939
Wolof,Pangasinan,0.9898734006608769
Wolof,Kapampangan,0.940411054811311
Wolof,Khmer,0.9813989954107631
Wolof,Javanese,0.9848157571136117
Wolof,Malay,0.9693714893219545
Wolof,Sundanese,0.9339776641546237
Wolof,Hakka,0.9929618148545811
Wolof,Turkish,0.9762230886398557
Wolof,Kazakh,0.9857588863590042
Wolof,Kirghiz,0.9897208555013423
Wolof,Turkmen,0.9785807246016779
Wolof,Persian,0.9576511873469001
Wolof,Tajik,0.9947987071217973
Wolof,Latin,0.9859285606830408
Wolof,Galician,0.9107898115069477
Wolof,Romanian,0.9715556351821728
Wolof,Norman,0.9483973546020775
Wolof,Corsican,0.9299597935320716
Wolof,Bengali,0.970447670707657
Wolof,Waray,0.9597722953370627
Wolof,Welsh,0.9867901868841005
Wolof,Armenian,0.9700038589787622
Wolof,Korean,0.9855824518110377
Wolof,Assamese,0.9384120078192695
Wolof,Bhojpuri,0.9569707146055456
Wolof,Divehi,0.9797955193740865
Wolof,Catalan,0.9370049922524012
Wolof,Walloon,0.9694932212600479
Wolof,Yiddish,0.9495770195424452
Wolof,Maltese,0.9954670737323525
Wolof,Romansh,0.9462915455996983
Wolof,Bavarian,0.8820158569795215
Wolof,Faroese,0.9877953426803263
Wolof,Ripuarian,0.9154283405057849
Wolof,Luxembourgish,0.9632029377590198
Wolof,Limburgish,0.9617074289962662
Wolof,Scots,0.9612949856579573
Wolof,Zeelandic,0.9473482437856233
Wolof,Aragonese,0.9781790612141111
Wolof,Asturian,0.9503673892743494
Wolof,Emilian-Romagnol,0.9210119991272654
Wolof,Extremaduran,0.9369931834950562
Wolof,Franco-Provençal,0.9631345548623579
Wolof,Friulian,0.9492701566201517
Wolof,Ladino,0.9874434654308317
Wolof,Lombard,0.9599140635452423
Wolof,Mirandese,0.9368335000294745
Wolof,Neapolitan,0.901262958538982
Wolof,Occitan,0.9584571523201136
Wolof,Picard,0.9799443950870879
Wolof,Sardinian,0.9534025129178646
Wolof,Sicilian,0.9397505033726068
Wolof,Venetian,0.9724087698653356
Wolof,Czech,0.967455733762684
Wolof,Rusyn,0.9826632744676077
Wolof,Slovenian,0.9813259625892051
Wolof,Uzbek,0.9802617583710598
Wolof,Amharic,0.9831255916391587
Wolof,Zazaki,0.9979139310133377
Wolof,Gilaki,0.9898596819307148
Wolof,Mazandarani,0.9633034681340265
Wolof,Ossetian,0.9997393279405665
Wolof,Pashto,0.9329867582804646
Wolof,Komi,0.9956285352733171
Wolof,Vepsian,0.9753850917282025
Wolof,Erzya,0.9940501736530897
Wolof,Konkani,0.9803269411329069
Wolof,Odia,0.9653879643756655
Wolof,Maithili,0.9906348631831693
Wolof,Sanskrit,0.9947774852545631
Wolof,Sindhi,0.9761545682874432
Wolof,Sinhalese,0.9565633357453456
Wolof,Esperanto,0.9232765335927952
Wolof,Ido,0.9418674300652233
Wolof,Lithuanian,0.973804745854764
Wolof,Latvian,0.9727333965817907
Wolof,Kannada,0.9591006103104212
Wolof,Malayalam,0.9843883241297863
Wolof,Breton,0.9933172770512166
Wolof,Irish,0.992054001261522
Wolof,Manx,0.9568163609798088
Wolof,Burmese,0.9928767403793598
Wolof,Mingrelian,0.9923316628037605
Wolof,Lao,0.9922382930167716
Wolof,Thai,0.9579785238034334
Wolof,Lezgian,0.993713916604259
Wolof,Malagasy,0.8850843866970202
Wolof,Papiamentu,0.9914185240437204
Wolof,Albanian,0.988915595308688
Wolof,Luganda,0.9845987109985936
Wolof,Swahili,0.9866640543958849
Wolof,Tswana,0.9926455958817717
Wolof,Tsonga,0.9935987123225447
Wolof,Buryat,0.9946608818557903
Wolof,Samoan,0.8995988072035372
Wolof,Tongan,0.9726991175615601
Wolof,Nahuatl,0.9804129911923515
Wolof,Somali,0.9978797181859518
Wolof,Aymara,0.9931690357726479
Wolof,Guarani,0.9890038927908413
Wolof,Kabyle,0.9915689144425391
Wolof,Hausa,0.9897799973073632
Wolof,Tetum,0.969736421413071
Wolof,Tulu,0.9842102465992557
Wolof,Kabiye,0.9957923594335
Wolof,Maori,0.8459896581436174
Wolof,Nepali,0.9894597559008865
Wolof,Mongolian,0.9901907917488384
Wolof,Hindi,0.9626003317709478
Wolof,Danish,0.996513235270607
Wolof,Hebrew,0.9772084321582811
Wolof,Indonesian,0.9713514483171359
Wolof,Serbian,0.9845112537485328
Wolof,Ukrainian,0.9702575557871945
Wolof,Russian,0.9656384717988393
Wolof,German,0.8941928894653394
Wolof,Japanese,0.9877163329836032
Wolof,Arabic,0.9754232178919056
Bosnian,Basque,0.9891206719445845
Bosnian,Alemannic,0.8894269138671723
Bosnian,Wolof,0.9887828072375455
Bosnian,Bosnian,1
Bosnian,Urdu,0.983227097246391
Bosnian,Afrikaans,0.9987963242245247
Bosnian,Anglo-Saxon,0.9593318513201958
Bosnian,Slovak,0.9492241704859892
Bosnian,Silesian,0.9293567034916607
Bosnian,Acehnese,0.973713046353693
Bosnian,Wu,0.9940536700714702
Bosnian,Bashkir,0.9794563007484571
Bosnian,Chuvash,0.9704115220045525
Bosnian,Gagauz,0.9866570239830545
Bosnian,Karachay-Balkar,0.9886899586923111
Bosnian,Sakha,0.9493664293048399
Bosnian,Tamil,0.9438782647816879
Bosnian,Telugu,0.9575212165747884
Bosnian,Georgian,0.9564029963360012
Bosnian,Tatar,0.9875063653660049
Bosnian,Uyghur,0.9469444935561007
Bosnian,Icelandic,0.9696538770532225
Bosnian,Belarusian,0.8979768670553769
Bosnian,Gujarati,0.9238888981541045
Bosnian,Marathi,0.9334480418114861
Bosnian,Estonian,0.9371109554003119
Bosnian,Finnish,0.9603982089229505
Bosnian,Hungarian,0.9844902289914632
Bosnian,Bulgarian,0.9548873932553685
Bosnian,Yoruba,0.9542897085352691
Bosnian,Quechua,0.989595884373162
Bosnian,Croatian,0.949436971049876
Bosnian,Macedonian,0.9526556090146958
Bosnian,Serbo-Croatian,0.9630363186137205
Bosnian,Pangasinan,0.9664656841190405
Bosnian,Kapampangan,0.9101850759099378
Bosnian,Khmer,0.9646750318990219
Bosnian,Javanese,0.9622086016276304
Bosnian,Malay,0.9489316804319105
Bosnian,Sundanese,0.9313025830496815
Bosnian,Hakka,0.9962863204773375
Bosnian,Turkish,0.9493724279471716
Bosnian,Kazakh,0.9585707736751845
Bosnian,Kirghiz,0.9629290581400312
Bosnian,Turkmen,0.9514434547345831
Bosnian,Persian,0.9191913900740403
Bosnian,Tajik,0.9689441430175862
Bosnian,Latin,0.9587019204850475
Bosnian,Galician,0.8781359286215636
Bosnian,Romanian,0.9517181515976114
Bosnian,Norman,0.9134408503857708
Bosnian,Corsican,0.9194620010673772
Bosnian,Bengali,0.9687661924397662
Bosnian,Waray,0.9697808916492027
Bosnian,Welsh,0.9883288065647416
Bosnian,Armenian,0.9663568032653614
Bosnian,Korean,0.9639949964390985
Bosnian,Assamese,0.9058016694961497
Bosnian,Bhojpuri,0.9171464892721327
Bosnian,Divehi,0.9534675559502857
Bosnian,Catalan,0.9193768292937353
Bosnian,Walloon,0.9931772280152537
Bosnian,Yiddish,0.928012226153424
Bosnian,Maltese,0.997297415858103
Bosnian,Romansh,0.9336023464075285
Bosnian,Bavarian,0.8383743972404801
Bosnian,Faroese,0.9772263476880999
Bosnian,Ripuarian,0.8773170537367114
Bosnian,Luxembourgish,0.9289173850859392
Bosnian,Limburgish,0.9905911680107957
Bosnian,Scots,0.9391310359235878
Bosnian,Zeelandic,0.9734331230224744
Bosnian,Aragonese,0.9885961740775719
Bosnian,Asturian,0.9317700077372764
Bosnian,Emilian-Romagnol,0.9420822220350953
Bosnian,Extremaduran,0.9078121162347305
Bosnian,Franco-Provençal,0.9502780032579998
Bosnian,Friulian,0.9258859732099051
Bosnian,Ladino,0.9995096260241383
Bosnian,Lombard,0.9908204340156478
Bosnian,Mirandese,0.9317547556629541
Bosnian,Neapolitan,0.9550054644276675
Bosnian,Occitan,0.9524390511121611
Bosnian,Picard,0.9600492761585416
Bosnian,Sardinian,0.9626571856590539
Bosnian,Sicilian,0.9138827041266163
Bosnian,Venetian,0.9961241866106343
Bosnian,Czech,0.9357555859000077
Bosnian,Rusyn,0.9556938123749178
Bosnian,Slovenian,0.9550416378260822
Bosnian,Uzbek,0.9446235864509792
Bosnian,Amharic,0.9540421923566899
Bosnian,Zazaki,0.9960486963452682
