language,wiki,iso
Afrikaans,af,afr
Alemannic,als,gsw
Anglo-Saxon,ang,ang
Bavarian,bar,bar
Danish,da,dan
Faroese,fo,fao
Gothic,got,got
Icelandic,is,isl
Ripuarian,ksh,ksh
Luxembourgish,lb,ltz
Limburgish,li,lim
Dutch,nl,nld
Scots,sco,sco
Swedish,sv,swe
Yiddish,yi,yid
Zeelandic,zea,zea
Aragonese,an,arg
Asturian,ast,ast
Catalan,ca,cat
Corsican,co,cos
Emilian-Romagnol,eml,egl
Extremaduran,ext,ext
French,fr,fra
Franco-Provençal,frp,frp
Friulian,fur,fur
Galician,gl,glg
Latin,la,lat
Ladino,lad,lad
Lombard,lmo,lmo
Mirandese,mwl,mwl
Neapolitan,nap,nap
Norman,nrm,xno
Occitan,oc,oci
Picard,pcd,pcd
Piedmontese,pms,pms
Romanian,ro,ron
Aromanian,roa-rup,rup
Romansh,rm,roh
Sardinian,sc,srd
Sicilian,scn,scn
Venetian,vec,vec
Walloon,wa,wln
Belarusian,be,bel
Bulgarian,bg,bul
Bosnian,bs,bos
Czech,cs,ces
Kashubian,csb,csb
Croatian,hr,hrv
Macedonian,mk,mkd
Polish,pl,pol
Russian,ru,rus
Rusyn,rue,rue
Serbo-Croatian,sh,hbs
Slovenian,sl,slv
Serbian,sr,srp
Slovak,sk,slk
Silesian,szl,szl
Ukrainian,uk,ukr
Cebuano,ceb,ceb
Pangasinan,pag,pag
Kapampangan,pam,pam
Waray,war,war
Khmer,km,khm
Vietnamese,vi,vie
Japanese,ja,jpn
Acehnese,ace,ace
Buginese,bug,bug
Banjar,bjn,bjn
Chamorro,ch,cha
Indonesian,id,ind
Javanese,jv,jav
Minangkabau,min,min
Malay,ms,msa
Sundanese,su,sun
Gan,gan,gan
Hakka,hak,hak
Wu,wuu,wuu
Chinese,zh,cmn
Cantonese,zh-yue,yue
Azerbaijani,az,aze
Bashkir,ba,bak
Chuvash,cv,chv
Gagauz,gag,gag
Karakalpak,kaa,kaa
Kazakh,kk,kaz
Karachay-Balkar,krc,krc
Kirghiz,ky,kir
Sakha,sah,sah
Turkmen,tk,tuk
Turkish,tr,tur
Tatar,tt,tat
Tuvan,tyv,tyv
Uyghur,ug,uig
Uzbek,uz,uzb
Arabic,ar,arb
Hebrew,he,heb
Amharic,am,amh
Maltese,mt,mlt
Aramaic,arc,arc
Tigrinya,ti,tir
