length,position,surprisal
4,1,NA
4,2,3.8217509
4,3,4.580656
4,4,3.0804741
8,1,NA
8,2,NA
8,3,1.3069859
8,4,3.6275284
8,5,3.000936
8,6,4.3518333
8,7,3.8130906
8,8,3.8217509
10,1,NA
10,2,NA
10,3,4.3518333
10,4,1.3069859
10,5,4.2027507
10,6,1.3069859
10,7,5.094433
10,8,3.2779949
10,9,3.0310266
10,10,3.8217509
9,1,NA
9,2,NA
9,3,3.2584343
9,4,1.3069859
9,5,3.514856
9,6,3.6275284
9,7,3.000936
9,8,3.342593
9,9,3.8217509
15,1,NA
15,2,NA
15,3,3.6275284
15,4,1.9872584
15,5,3.0310266
15,6,3.8217509
15,7,NA
15,8,5.2685122
15,9,4.6340113
15,10,3.3949625
15,11,3.8488183
15,12,5.094433
15,13,2.2475383
15,14,2.2475383
15,15,1.4372
9,1,NA
9,2,NA
9,3,NA
9,4,5.094433
9,5,5.4444447
9,6,3.8488183
9,7,3.3368273
9,8,3.3368273
9,9,1.4372
13,1,NA
13,2,NA
13,3,3.311789
13,4,NA
13,5,3.977967
13,6,3.6624537
13,7,4.6340113
13,8,2.2475383
13,9,2.2475383
13,10,1.3069859
13,11,4.6948514
13,12,2.6498191
13,13,1.5582632
18,1,NA
18,2,NA
18,3,4.5331445
18,4,3.5900428
18,5,NA
18,6,4.1438394
18,7,1.7512083
18,8,3.6685576
18,9,4.6340113
18,10,1.3069859
18,11,3.6275284
18,12,3.000936
18,13,3.8217509
18,14,1.3069859
18,15,3.514856
18,16,3.7494018
18,17,3.5900428
18,18,3.9656107
12,1,NA
12,2,NA
12,3,3.5799012
12,4,NA
12,5,4.182213
12,6,3.4582956
12,7,1.3069859
12,8,3.7494018
12,9,3.5900428
12,10,2.9052565
12,11,4.5331445
12,12,1.5582632
5,1,NA
5,2,NA
5,3,2.5456288
5,4,2.2475383
5,5,2.2475383
8,1,NA
8,2,NA
8,3,3.3949625
8,4,1.9872584
8,5,NA
8,6,NA
8,7,4.5331445
8,8,3.5900428
9,1,NA
9,2,NA
9,3,3.3949625
9,4,3.5235727
9,5,3.7722049
9,6,NA
9,7,3.5900428
9,8,2.1808796
9,9,4.5331445
9,1,NA
9,2,NA
9,3,3.3949625
9,4,4.1438394
9,5,5.4444447
9,6,NA
9,7,3.5900428
9,8,2.1808796
9,9,4.5331445
9,1,NA
9,2,NA
9,3,3.3949625
9,4,3.977967
9,5,4.1438394
9,6,NA
9,7,3.5900428
9,8,2.1808796
9,9,4.5331445
21,1,NA
21,2,NA
21,3,5.4444447
21,4,3.7071013
21,5,NA
21,6,2.8686757
21,7,4.9553833
21,8,1.3069859
21,9,5.094433
